"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","51.99156952582205","22.53552085985709","0.01513671875","0.029052734375","0.001220703125","1560","0.0014169324746501919","24","0.0014169324746501919","0","0.0014169324746501919","0.0014169324746501919","1:0.007831625819164134","1:68","1:0.00849470845914091","0.01513671875","Yes"
"1","231.60183954439313","275.9670226087048","0.0223388671875","0.030029296875","0.0146484375","1560","0.00023370956705283692","24","0.00023370956705283692","0","0.00023370956705283692","0.00023370956705283692","2:0.002323006796926236;0:0.007831625819164134","2:68;0:68","2:0.002707634399989556;0:0.00849470845914091","0.0223388671875","Yes"
"2","286.1433818786946","166.01916743760717","0.0054931640625","0.007568359375","0.00341796875","1560","0.00017187666760265166","24","0.00017187666760265166","0","0.00017187666760265166","0.00017187666760265166","1:0.002323006796926236;3:0.002294429558158284","1:68;3:68","1:0.002707634399989556;3:0.0017733442785170528","0.0054931640625","Yes"
"3","74.64702454235079","77.0160816326246","0.0201416015625","0.0205078125","0.019775390625","1560","0.00018940522566213478","24","0.00018940522566213478","0","0.00018940522566213478","0.00018940522566213478","16:0.002235993645341411;2:0.002294429558158284;4:0.0017841385524589026","16:68;2:68;4:68","16:0.0018103328529732177;2:0.0017733442785170528;4:0.00177685787288967","0.0201416015625","Yes"
"4","185.12078654146035","137.88880081652027","0.0042724609375","0.005859375","0.002685546875","1560","0.0003665898077176623","24","0.0003665898077176623","0","0.0003665898077176623","0.0003665898077176623","3:0.0017841385524589026;5:0.0023568378848679017","3:68;5:68","3:0.00177685787288967;5:0.001634870311435499","0.0042724609375","Yes"
"5","213.44532522757237","168.6162678785331","0.008056640625","0.010986328125","0.005126953125","1560","0.00021305899622773607","24","0.00021305899622773607","0","0.00021305899622773607","0.00021305899622773607","6:0.002115589663299222;4:0.0023568378848679017","6:68;4:68","6:0.0021700175481016992;4:0.001634870311435499","0.008056640625","Yes"
"6","205.22370676592644","126.53780656439945","0.0111083984375","0.006591796875","0.015625","1560","0.00032888906546073364","24","0.00032888906546073364","0","0.00032888906546073364","0.00032888906546073364","5:0.002115589663299222;7:0.002504763573831531","5:68;7:68","5:0.0021700175481016992;7:0.002268383360331333","0.0111083984375","Yes"
"7","102.00499292016887","37.792337420346314","0.023193359375","0.0322265625","0.01416015625","1560","0.0004900094939572769","24","0.0004900094939572769","0","0.0004900094939572769","0.0004900094939572769","17:0.0028816314470212767;6:0.002504763573831531;8:0.002957735709839371","17:68;6:68;8:68","17:0.0032560319784386282;6:0.002268383360331333;8:0.0029702590201411416","0.023193359375","Yes"
"8","136.7977354786609","34.54836529156475","0.032958984375","0.0615234375","0.00439453125","1560","0.0004213954691960203","24","0.0004213954691960203","0","0.0004213954691960203","0.0004213954691960203","9:0.0028020762755281148;7:0.002957735709839371","9:68;7:68","9:0.0021766757118850955;7:0.0029702590201411416","0.032958984375","Yes"
"9","344.7198071250895","27.22132359537961","0.010009765625","0.0107421875","0.00927734375","1560","0.00026274992454732287","24","0.00026274992454732287","0","0.00026274992454732287","0.00026274992454732287","8:0.0028020762755281148;10:0.0016973653615831308","8:68;10:68","8:0.0021766757118850955;10:0.0018355232343592043","0.010009765625","Yes"
"10","206.0693740356382","114.84985242676436","0.0067138671875","0.00927734375","0.006591796875","1560","0.00020974771942168326","24","0.00020974771942168326","0","0.00020974771942168326","0.00020974771942168326","9:0.0016973653615831308;11:0.010268012379078817","9:68;11:68","9:0.0018355232343592043;11:0.006286618282746931","0.0067138671875","Yes"
"11","130.5265706299022","85.23784146689022","0.030029296875","0.0283203125","0.03173828125","1560","0.0021225756490764543","24","0.0021225756490764543","0","0.0021225756490764543","0.0021225756490764543","18:0.0144259788963787;10:0.010268012379078817;12:0.010209841287594057","18:68;10:68;12:68","18:0.018180604008987522;10:0.006286618282746931;12:0.006562638004599941","0.030029296875","Yes"
"12","64.59207340538144","60.003459317514015","0.02490234375","0.03125","0.0185546875","1560","0.0004769463881087572","24","0.0004769463881087572","0","0.0004769463881087572","0.0004769463881087572","13:0.0034467089493386283;11:0.010209841287594057","13:68;11:68","13:0.002978782885169451;11:0.006562638004599941","0.02490234375","Yes"
