"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","280.4311575979097","14.65201116684425","0.0064697265625","0.011962890625","0.0009765625","2584","0.0004207142121396448","36","0.0004207142121396448","0","0.0004207142121396448","0.0004207142121396448","1:0.0027697157938530448","1:68","1:0.0021674071146250695","0.0064697265625","Yes"
"1","170.9727840878387","150.665237509712","0.00634765625","0.010009765625","0.002685546875","2584","0.0001710165911460725","36","0.0001710165911460725","0","0.0001710165911460725","0.0001710165911460725","2:0.0013286440575483172;0:0.0027697157938530448","2:68;0:68","2:0.0017299645287486565;0:0.0021674071146250695","0.00634765625","Yes"
"2","304.38332944264204","379.41628419767176","0.0037841796875","0.006103515625","0.00146484375","2584","0.00008798402664436509","36","0.00008798402664436509","0","0.00008798402664436509","0.00008798402664436509","1:0.0013286440575483172;3:0.0015308828964743781","1:68;3:68","1:0.0017299645287486565;3:0.001639230371344863","0.0037841796875","Yes"
"3","167.79935602314865","184.80004146078184","0.010986328125","0.016845703125","0.005126953125","2584","0.00044455909651036087","36","0.00044455909651036087","0","0.00044455909651036087","0.00044455909651036087","16:0.0035613235609904814;2:0.0015308828964743781;4:0.002069898003478343","16:68;2:68;4:80","16:0.0013364536458049803;2:0.001639230371344863;4:0.002227195862911091","0.010986328125","Yes"
"4","217.5687731908599","233.2965617775303","0.0228271484375","0.044921875","0.000732421875","2584","0.00027619215058684386","36","0.00027619215058684386","0","0.00027619215058684386","0.00027619215058684386","3:0.002069898003478343;5:0.002675316026760216","3:80;5:68","3:0.002227195862911091;5:0.002736023731627235","0.0228271484375","Yes"
"5","268.2391791990002","157.72975641685855","0.0045166015625","0.006103515625","0.0029296875","2584","0.00027847520014788306","36","0.00027847520014788306","0","0.00027847520014788306","0.00027847520014788306","6:0.0019343131348413534;4:0.002675316026760216","6:68;4:68","6:0.0018433729525369202;4:0.002736023731627235","0.0045166015625","Yes"
"6","347.2001412580873","348.6915355063488","0.0054931640625","0.007568359375","0.00341796875","2584","0.00019045863816884612","36","0.00019045863816884612","0","0.00019045863816884612","0.00019045863816884612","5:0.0019343131348413534;7:0.0013912611372936257","5:68;7:68","5:0.0018433729525369202;7:0.0013256800197644358","0.0054931640625","Yes"
"7","151.61701698227182","104.55983994251831","0.0045166015625","0.00732421875","0.001708984375","2584","0.00021372032022497892","36","0.00021372032022497892","0","0.00021372032022497892","0.00021372032022497892","17:0.002142723503517324;6:0.0013912611372936257;8:0.00227853967158384","17:68;6:68;8:80","17:0.0017704580781050527;6:0.0013256800197644358;8:0.0021020278472937692","0.0045166015625","Yes"
"8","202.5985407873094","131.6092589601514","0.0074462890625","0.014404296875","0.00048828125","2584","0.000336844845541436","36","0.000336844845541436","0","0.000336844845541436","0.000336844845541436","9:0.002847807427861837;7:0.00227853967158384","9:68;7:80","9:0.0020409455662157017;7:0.0021020278472937692","0.0074462890625","Yes"
"9","213.37979794449438","259.0814985024499","0.01904296875","0.018798828125","0.019287109375","2584","0.00035871082604596485","36","0.00035871082604596485","0","0.00035871082604596485","0.00035871082604596485","8:0.002847807427861837;10:0.0012897494912639529","8:68;10:68","8:0.0020409455662157017;10:0.0011486513200104354","0.01904296875","Yes"
