"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","161.82733281634913","187.75005351896615","0.1370849609375","0.14892578125","0.125244140625","1560","0.00023905279992781974","32","0.00023905279992781974","0","0.00023905279992781974","0.00023905279992781974","15:0.0022425040028163645;1:0.002302071984069981","15:68;1:68","15:0.0019259393137654734;1:0.001688612352723995","0.1370849609375","Yes"
"1","266.16802962337334","187.020966885254","0.050048828125","0.033447265625","0.066650390625","1560","0.00023331971155128616","32","0.00023331971155128616","0","0.00023331971155128616","0.00023331971155128616","2:0.002689538971387767;0:0.002302071984069981","2:68;0:68","2:0.0020644770795519296;0:0.001688612352723995","0.050048828125","Yes"
"2","172.98398403527318","181.44321225857436","0.0521240234375","0.073486328125","0.03076171875","1560","0.0002623305984345107","32","0.0002623305984345107","0","0.0002623305984345107","0.0002623305984345107","1:0.002689538971387767;3:0.0018988371624247269","1:68;3:68","1:0.0020644770795519296;3:0.0016029743486313808","0.0521240234375","Yes"
"3","240.6613973327896","177.9071987025183","0.019775390625","0.01708984375","0.0224609375","1560","0.00020484302009264783","32","0.00020484302009264783","0","0.00020484302009264783","0.00020484302009264783","2:0.0018988371624247269;4:0.001942395578592715","2:68;4:68","2:0.0016029743486313808;4:0.0016464156945089903","0.019775390625","Yes"
"4","116.89650971030396","160.3753607596887","0.039794921875","0.048828125","0.03076171875","1560","0.00023122685099888685","32","0.00023122685099888685","0","0.00023122685099888685","0.00023122685099888685","3:0.001942395578592715;5:0.0031975398533492516;16:0.0019313640641984986","3:68;5:68;16:80","3:0.0016464156945089903;5:0.002082277947052874;16:0.0019615375185638995","0.039794921875","Yes"
"5","337.7107835175172","210.35695407014524","0.028076171875","0.018310546875","0.037841796875","1560","0.0002254114197795075","32","0.0002254114197795075","0","0.0002254114197795075","0.0002254114197795075","6:0.0026905658300940827;4:0.0031975398533492516","6:68;4:68","6:0.0024445105664476774;4:0.002082277947052874","0.028076171875","Yes"
"6","47.15124993588873","79.51189790076688","0.012451171875","0.02685546875","0.00341796875","1560","0.0005701039055829076","32","0.0005701039055829076","0","0.0005701039055829076","0.0005701039055829076","5:0.0026905658300940827;7:0.0029842394727011834","5:68;7:68","5:0.0024445105664476774;7:0.0032192553854775707","0.012451171875","Yes"
"7","229.26682578789587","138.54605401314046","0.0711669921875","0.045654296875","0.0966796875","1560","0.0007371004092406682","32","0.0007371004092406682","0","0.0007371004092406682","0.0007371004092406682","6:0.0029842394727011834;8:0.002453248221589349","6:68;8:68","6:0.0032192553854775707;8:0.0025822142452269214","0.0711669921875","Yes"
"8","239.72564587717014","225.93245734836822","0.0718994140625","0.057861328125","0.0859375","1560","0.0002185520585605567","32","0.0002185520585605567","0","0.0002185520585605567","0.0002185520585605567","9:0.002109109657440905;17:0.0024391419159798255;7:0.002453248221589349","9:68;17:108;7:68","9:0.0024402512894027006;17:0.002665273670546864;7:0.0025822142452269214","0.0718994140625","Yes"
"9","122.9631169687969","116.0733239508534","0.0189208984375","0.03466796875","0.003173828125","1560","0.00040641682492393753","32","0.00040641682492393753","0","0.00040641682492393753","0.00040641682492393753","8:0.002109109657440905;10:0.0022186914871190067","8:68;10:68","8:0.0024402512894027006;10:0.0016058151793875153","0.0189208984375","Yes"
