"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","49.14103382446351","37.68200283729937","0.013916015625","0.026611328125","0.001220703125","1560","0.0014534959723732262","24","0.0014534959723732262","0","0.0014534959723732262","0.0014534959723732262","1:0.008176413521182035","1:68","1:0.007367114341687936","0.013916015625","Yes"
"1","227.23308279872043","283.17990188538505","0.0194091796875","0.024169921875","0.0146484375","1560","0.00035214615783006235","24","0.00035214615783006235","0","0.00035214615783006235","0.00035214615783006235","2:0.002939224581628014;0:0.008176413521182035","2:68;0:68","2:0.0019659656331383335;0:0.007367114341687936","0.0194091796875","Yes"
"2","250.80677196248666","165.91090956579777","0.00634765625","0.00634765625","0.00634765625","1560","0.00032031769163663943","24","0.00032031769163663943","0","0.00032031769163663943","0.00032031769163663943","1:0.002939224581628014;3:0.0023152576974120043","1:68;3:68","1:0.0019659656331383335;3:0.0015241345035105214","0.00634765625","Yes"
"3","26.19088478545334","37.206005458824535","0.0263671875","0.02490234375","0.02783203125","1560","0.00024133810690821396","24","0.00024133810690821396","0","0.00024133810690821396","0.00024133810690821396","16:0.0015455818619161954;2:0.0023152576974120043;4:0.0018658139040627908","16:68;2:68;4:68","16:0.0018210584341876446;2:0.0015241345035105214;4:0.002262289760784214","0.0263671875","Yes"
"4","99.01509715706243","93.44375018871075","0.003662109375","0.00634765625","0.0009765625","1560","0.0003337736564579384","24","0.0003337736564579384","0","0.0003337736564579384","0.0003337736564579384","3:0.0018658139040627908;5:0.002786389717733484","3:68;5:68","3:0.002262289760784214;5:0.0020887302435436406","0.003662109375","Yes"
"5","206.92986160586202","168.46718654683394","0.0118408203125","0.016845703125","0.0068359375","1560","0.00024829751690520893","24","0.00024829751690520893","0","0.00024829751690520893","0.00024829751690520893","6:0.009967121835005782;4:0.002786389717733484","6:68;4:68","6:0.00744300452810559;4:0.0020887302435436406","0.0118408203125","Yes"
"6","111.98448940565261","91.05997930996088","0.01025390625","0.006103515625","0.014404296875","1560","0.0001918565942025429","24","0.0001918565942025429","0","0.0001918565942025429","0.0001918565942025429","5:0.009967121835005782;7:0.0027425223905384044","5:68;7:68","5:0.00744300452810559;7:0.002690862383900927","0.01025390625","Yes"
"7","109.87703174417663","45.43247185196614","0.024658203125","0.036865234375","0.012451171875","1560","0.0005140665062937765","24","0.0005140665062937765","0","0.0005140665062937765","0.0005140665062937765","17:0.002213704258663629;6:0.0027425223905384044;8:0.0022927975770632714","17:68;6:68;8:68","17:0.003140584688459902;6:0.002690862383900927;8:0.0033672973750923096","0.024658203125","Yes"
"8","196.57473959163556","53.73095511976358","0.005126953125","0.007080078125","0.003173828125","1560","0.00023994690479244607","24","0.00023994690479244607","0","0.00023994690479244607","0.00023994690479244607","9:0.0023820848569465203;7:0.0022927975770632714","9:68;7:68","9:0.001974612217317151;7:0.0033672973750923096","0.005126953125","Yes"
"9","206.77166523493696","22.96005438720155","0.0093994140625","0.010986328125","0.0078125","1560","0.00017959404613621487","24","0.00017959404613621487","0","0.00017959404613621487","0.00017959404613621487","8:0.0023820848569465203;10:0.0011353980788621487","8:68;10:68","8:0.001974612217317151;10:0.0014446582594139779","0.0093994140625","Yes"
"10","174.6445591224371","127.61178264134135","0.00634765625","0.01123046875","0.004638671875","1560","0.0001571023643277098","24","0.0001571023643277098","0","0.0001571023643277098","0.0001571023643277098","9:0.0011353980788621487;11:0.006348622154659811","9:68;11:68","9:0.0014446582594139779;11:0.006821448119904955","0.00634765625","Yes"
"11","109.68719348826215","75.05376853108439","0.0396728515625","0.051025390625","0.0283203125","1560","0.0009142495444771484","24","0.0009142495444771484","0","0.0009142495444771484","0.0009142495444771484","18:0.015423235728821233;10:0.006348622154659811;12:0.0048903145881421806","18:68;10:68;12:68","18:0.017864259382535275;10:0.006821448119904955;12:0.006099119427411731","0.0396728515625","Yes"
"12","58.849322962129584","50.908060013901284","0.0252685546875","0.036376953125","0.01416015625","1560","0.000712115480092544","24","0.000712115480092544","0","0.000712115480092544","0.000712115480092544","13:0.002615439640812983;11:0.0048903145881421806","13:68;11:68","13:0.003327337775008793;11:0.006099119427411731","0.0252685546875","Yes"
"13","183.92338537355874","162.1135188027303","0.0272216796875","0.04248046875","0.011962890625","1560","0.0003786619189458014","24","0.0003786619189458014","0","0.0003786619189458014","0.0003786619189458014","12:0.002615439640812983;14:0.0017004438501995733","12:68;14:68","12:0.003327337775008793;14:0.0016340547374439907","0.0272216796875","Yes"
"14","126.56515165188455","54.74827150754191","0.0076904296875","0.0078125","0.007568359375","1560","0.00032561199052673226","24","0.00032561199052673226","0","0.00032561199052673226","0.00032561199052673226","15:0.001551765297711255;13:0.0017004438501995733","15:68;13:68","15:0.002110493056247248;13:0.0016340547374439907","0.0076904296875","Yes"
"15","161.34483495259295","129.0247532698122","0.017578125","0.026123046875","0.009033203125","1560","0.00015065873239400324","24","0.00015065873239400324","0","0.00015065873239400324","0.00015065873239400324","14:0.001551765297711255;19:0.0021631716470763007","14:68;19:68","14:0.002110493056247248;19:0.0025098735230997538","0.017578125","Yes"
"16","143.8786890935686","135.98142359166903","0.0047607421875","0.0078125","0.001708984375","1560","0.000244311401264295","24","0.000244311401264295","0","0.000244311401264295","0.000244311401264295","23:0.0018951940660086042;3:0.0015455818619161954","23:68;3:68","23:0.0016966510702716153;3:0.0018210584341876446","0.0047607421875","Yes"
"17","108.5910568697148","81.61406510888709","0.0084228515625","0.0107421875","0.006103515625","1560","0.00036653200138679664","24","0.00036653200138679664","0","0.00036653200138679664","0.00036653200138679664","7:0.002213704258663629;27:0.023049134641523084","7:68;27:68","7:0.003140584688459902;27:0.03741000205274525","0.0084228515625","Yes"
"18","109.43944051145573","55.32520725611942","0.009033203125","0.013671875","0.00439453125","1560","0.0003506897689235068","24","0.0003506897689235068","0","0.0003506897689235068","0.0003506897689235068","11:0.015423235728821233;31:0.003138616338247663","11:68;31:68","11:0.017864259382535275;31:0.003104136620078468","0.009033203125","Yes"
"19","207.21576870101512","41.19703256899566","0.009521484375","0.013427734375","0.005615234375","1560","0.00035726441402073646","24","0.00035726441402073646","0","0.00035726441402073646","0.00035726441402073646","35:0.001480431356210704;15:0.0021631716470763007","35:68;15:68","35:0.002165434094466484;15:0.0025098735230997538","0.009521484375","Yes"
