"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","383.27551090825676","124.93293291139675","0.005859375","0.010986328125","0.000732421875","2584","0.0003132250300535132","36","0.0003132250300535132","0","0.0003132250300535132","0.0003132250300535132","1:0.0012810428523513662","1:68","1:0.0014935508853933244","0.005859375","Yes"
"1","176.06505320046944","148.13328401715918","0.0052490234375","0.009033203125","0.00146484375","2584","0.00017713985808063168","36","0.00017713985808063168","0","0.00017713985808063168","0.00017713985808063168","2:0.0012489571717559378;0:0.0012810428523513662","2:68;0:68","2:0.0012318489958449974;0:0.0014935508853933244","0.0052490234375","Yes"
"2","328.1588028451971","366.5463905218956","0.0025634765625","0.002685546875","0.00244140625","2584","0.00012364372582024388","36","0.00012364372582024388","0","0.00012364372582024388","0.00012364372582024388","1:0.0012489571717559378;3:0.001344444464227934","1:68;3:68","1:0.0012318489958449974;3:0.001028651024180871","0.0025634765625","Yes"
"3","244.2579235249484","229.51720021604902","0.0078125","0.01025390625","0.00537109375","2584","0.0004992273227839882","36","0.0004992273227839882","0","0.0004992273227839882","0.0004992273227839882","16:0.001987151069554577;2:0.001344444464227934;4:0.0015702746722367489","16:68;2:68;4:80","16:0.002684363532010875;2:0.001028651024180871;4:0.0014150087986639914","0.0078125","Yes"
"4","251.25861318430117","103.61589271803584","0.0228271484375","0.0439453125","0.001708984375","2584","0.0004722171396613099","36","0.0004722171396613099","0","0.0004722171396613099","0.0004722171396613099","3:0.0015702746722367489;5:0.0021619847156834626","3:80;5:68","3:0.0014150087986639914;5:0.0015053930404396454","0.0228271484375","Yes"
"5","280.1457459762409","89.72726769605916","0.00439453125","0.005859375","0.0029296875","2584","0.00039642522687724307","36","0.00039642522687724307","0","0.00039642522687724307","0.00039642522687724307","6:0.0023295545663331585;4:0.0021619847156834626","6:68;4:68","6:0.0009814150010668266;4:0.0015053930404396454","0.00439453125","Yes"
"6","283.7611070077062","161.82822374640665","0.00634765625","0.01025390625","0.00244140625","2584","0.000271966406032602","36","0.000271966406032602","0","0.000271966406032602","0.000271966406032602","5:0.0023295545663331585;7:0.002038077244464004","5:68;7:68","5:0.0009814150010668266;7:0.0012988572825869127","0.00634765625","Yes"
"7","210.0546807468356","59.75410883315506","0.0172119140625","0.02001953125","0.014404296875","2584","0.0005065016823685324","36","0.0005065016823685324","0","0.0005065016823685324","0.0005065016823685324","17:0.0017638144444071246;6:0.002038077244464004;8:0.0021214712196535035","17:68;6:68;8:80","17:0.00152673995396857;6:0.0012988572825869127;8:0.0018897254003039932","0.0172119140625","Yes"
"8","182.46515828002353","61.27011008863872","0.0067138671875","0.01171875","0.001708984375","2584","0.000385838867872185","36","0.000385838867872185","0","0.000385838867872185","0.000385838867872185","9:0.003142319430175594;7:0.0021214712196535035","9:68;7:80","9:0.0020439978943459503;7:0.0018897254003039932","0.0067138671875","Yes"
"9","190.23988655028586","141.07393875195953","0.015625","0.015869140625","0.015380859375","2584","0.00033195818071735236","36","0.00033195818071735236","0","0.00033195818071735236","0.00033195818071735236","8:0.003142319430175594;10:0.0019345331599450732","8:68;10:68","8:0.0020439978943459503;10:0.0011910799735240785","0.015625","Yes"
"10","221.55975808364863","107.69814279119817","0.00927734375","0.0107421875","0.00341796875","2584","0.00018951895679473481","36","0.00018951895679473481","0","0.00018951895679473481","0.00018951895679473481","9:0.0019345331599450732;11:0.0023524605857420666","9:68;11:68","9:0.0011910799735240785;11:0.00205295259290586","0.00927734375","Yes"
"11","368.70958089002545","41.589430306768364","0.01025390625","0.013916015625","0.006591796875","2584","0.0004440511495645098","36","0.0004440511495645098","0","0.0004440511495645098","0.0004440511495645098","18:0.0019949004653423974;10:0.0023524605857420666;12:0.001282369946527251","18:68;10:68;12:68","18:0.002142461673601076;10:0.00205295259290586;12:0.0012039601601838978","0.01025390625","Yes"
"12","225.0813461631124","167.89884135937737","0.0030517578125","0.0048828125","0.001220703125","2584","0.0002212635110996707","36","0.0002212635110996707","0","0.0002212635110996707","0.0002212635110996707","13:0.001503178044948289;11:0.001282369946527251","13:80;11:68","13:0.001641674613304528;11:0.0012039601601838978","0.0030517578125","Yes"
"13","155.2926364419816","168.9669611585","0.0347900390625","0.021484375","0.048095703125","2584","0.00017925521326523844","36","0.00017925521326523844","0","0.00017925521326523844","0.00017925521326523844","12:0.001503178044948289;14:0.0013084023336761008","12:80;14:80","12:0.001641674613304528;14:0.0016871259221475365","0.0347900390625","Yes"
"14","277.0968961815512","139.12159286548092","0.0062255859375","0.0107421875","0.001708984375","2584","0.00020236072384097125","36","0.00020236072384097125","0","0.00020236072384097125","0.00020236072384097125","15:0.0014491059488936087;13:0.0013084023336761008","15:68;13:80","15:0.0010456250307326886;13:0.0016871259221475365","0.0062255859375","Yes"
"15","297.6562398858444","27.3324853469679","0.0057373046875","0.008056640625","0.00341796875","2584","0.0001860424690981417","36","0.0001860424690981417","0","0.0001860424690981417","0.0001860424690981417","14:0.0014491059488936087;19:0.001129462767491679","14:68;19:68","14:0.0010456250307326886;19:0.0013030847834556158","0.0057373046875","Yes"
"16","140.64282759939067","26.137798958602534","0.0074462890625","0.014404296875","0.00048828125","2584","0.0004584211644662921","36","0.0004584211644662921","0","0.0004584211644662921","0.0004584211644662921","23:0.0027700997896596136;3:0.001987151069554577","23:68;3:68","23:0.002896103914106274;3:0.002684363532010875","0.0074462890625","Yes"
"17","223.98553226603926","10.65459163237545","0.0074462890625","0.013916015625","0.0009765625","2584","0.000294205643266943","36","0.000294205643266943","0","0.000294205643266943","0.000294205643266943","7:0.0017638144444071246;27:0.0021533039560482636","7:68;27:68","7:0.00152673995396857;27:0.0022186755737721164","0.0074462890625","Yes"
"18","122.10528781430858","95.1753588811494","0.0155029296875","0.02783203125","0.003173828125","2584","0.00027322442040529177","36","0.00027322442040529177","0","0.00027322442040529177","0.00027322442040529177","11:0.0019949004653423974;31:0.0030424465009664114","11:68;31:68","11:0.002142461673601076;31:0.0022156359138174597","0.0155029296875","Yes"
"19","125.71390607966356","27.520667298258576","0.0042724609375","0.008056640625","0.00048828125","2584","0.00023725523299875998","36","0.00023725523299875998","0","0.00023725523299875998","0.00023725523299875998","35:0.001481911732244795;15:0.001129462767491679","35:80;15:68","35:0.0032691512949721002;15:0.0013030847834556158","0.0042724609375","Yes"
"20","145.33434792991838","174.23057285313863","0.006591796875","0.01171875","0.00146484375","2584","0.0002984140347216263","36","0.0002984140347216263","0","0.0002984140347216263","0.0002984140347216263","21:0.0041491212167492075","21:68","21:0.0027799597927108954","0.006591796875","Yes"
"21","341.88431106783975","226.61820764277772","0.0030517578125","0.005615234375","0.00048828125","2584","0.00016355143684331443","36","0.00016355143684331443","0","0.00016355143684331443","0.00016355143684331443","36:0.0023605817544742336;20:0.0041491212167492075;22:0.001739000281832409","36:68;20:68;22:68","36:0.0027414231773468523;20:0.0027799597927108954;22:0.0019496660006654287","0.0030517578125","Yes"
"22","235.06016882957618","35.067842215695414","0.0068359375","0.01123046875","0.00244140625","2584","0.0003272143968653037","36","0.0003272143968653037","0","0.0003272143968653037","0.0003272143968653037","23:0.002457763049789563;21:0.001739000281832409","23:68;21:68","23:0.0025198945322149335;21:0.0019496660006654287","0.0068359375","Yes"
"23","269.34643649420764","117.96913897892527","0.0234375","0.038818359375","0.008056640625","2584","0.00015128068963293325","36","0.00015128068963293325","0","0.00015128068963293325","0.00015128068963293325","22:0.002457763049789563;24:0.0040630261381446875;16:0.0027700997896596136","22:68;24:68;16:68","22:0.0025198945322149335;24:0.003125940491645385;16:0.002896103914106274","0.0234375","Yes"
"24","160.21091129606015","76.993451570125","0.0072021484375","0.01171875","0.002685546875","2584","0.0006376184749660185","36","0.0006376184749660185","0","0.0006376184749660185","0.0006376184749660185","23:0.0040630261381446875;25:0.003949268181233645","23:68;25:68","23:0.003125940491645385;25:0.002762181682694931","0.0072021484375","Yes"
"25","117.56218768160379","38.92348148496163","0.01611328125","0.02685546875","0.00537109375","2584","0.0005658163953157277","36","0.0005658163953157277","0","0.0005658163953157277","0.0005658163953157277","24:0.003949268181233645;26:0.014139065334420026;37:0.005684473587473038","24:68;26:68;37:68","24:0.002762181682694931;26:0.015365895246386096;37:0.003478991304170953","0.01611328125","Yes"
"26","6.994752555735544","7.900304327227794","0.048095703125","0.094482421875","0.001708984375","2584","0.0028053641796016203","36","0.0028053641796016203","0","0.0028053641796016203","0.0028053641796016203","25:0.014139065334420026;27:0.015615460360357797","25:68;27:68","25:0.015365895246386096;27:0.012684560313737103","0.048095703125","Yes"
