"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","161.82733281634913","176.39542193564313","0.1324462890625","0.154296875","0.110595703125","1560","0.0002734370554158446","32","0.0002734370554158446","0","0.0002734370554158446","0.0002734370554158446","15:0.0019532345064771917;1:0.0020211707100117604","15:68;1:68","15:0.00284977121869337;1:0.002114667889710764","0.1324462890625","Yes"
"1","197.49449829846643","169.21449692388885","0.0550537109375","0.0400390625","0.070068359375","1560","0.00020093880331275101","32","0.00020093880331275101","0","0.00020093880331275101","0.00020093880331275101","2:0.002584966774988373;0:0.0020211707100117604","2:68;0:68","2:0.002049522495286671;0:0.002114667889710764","0.0550537109375","Yes"
"2","160.36446821918506","175.72638323451596","0.0531005859375","0.080078125","0.026123046875","1560","0.00022414049612702754","32","0.00022414049612702754","0","0.00022414049612702754","0.00022414049612702754","1:0.002584966774988373;3:0.0016900753853596184","1:68;3:68","1:0.002049522495286671;3:0.0016140919500780004","0.0531005859375","Yes"
"3","252.39190374664972","189.5711218402903","0.0211181640625","0.021484375","0.020751953125","1560","0.00021483912511377829","32","0.00021483912511377829","0","0.00021483912511377829","0.00021483912511377829","2:0.0016900753853596184;4:0.001769882173850934","2:68;4:68","2:0.0016140919500780004;4:0.0015460082491476346","0.0211181640625","Yes"
"4","141.81799304665944","173.31401914838224","0.041748046875","0.04833984375","0.03515625","1560","0.0002648758864496945","32","0.0002648758864496945","0","0.0002648758864496945","0.0002648758864496945","3:0.001769882173850934;5:0.0029964688326830358;16:0.001940470377334802","3:68;5:68;16:80","3:0.0015460082491476346;5:0.0019586102487358648;16:0.0022634992047959046","0.041748046875","Yes"
"5","269.27533533642526","216.00545157811513","0.0335693359375","0.025146484375","0.0419921875","1560","0.00015149214249723952","32","0.00015149214249723952","0","0.00015149214249723952","0.00015149214249723952","6:0.002599946878028808;4:0.0029964688326830358","6:68;4:68","6:0.002132842477551966;4:0.0019586102487358648","0.0335693359375","Yes"
"6","47.2198511488896","76.88074378908392","0.01318359375","0.02001953125","0.003662109375","1560","0.0005419615104668654","32","0.0005419615104668654","0","0.0005419615104668654","0.0005419615104668654","5:0.002599946878028808;7:0.0025307633944380015","5:68;7:68","5:0.002132842477551966;7:0.0028340798272664947","0.01318359375","Yes"
"7","254.47143873477543","146.06522575711097","0.0787353515625","0.052001953125","0.10546875","1560","0.000612452298436688","32","0.000612452298436688","0","0.000612452298436688","0.000612452298436688","6:0.0025307633944380015;8:0.002455309003850936","6:68;8:68","6:0.0028340798272664947;8:0.002744533904352503","0.0787353515625","Yes"
"8","239.47112140371746","199.1692520978355","0.083984375","0.066162109375","0.101806640625","1560","0.00028997804127692695","32","0.00028997804127692695","0","0.00028997804127692695","0.00028997804127692695","9:0.0025543627915578238;17:0.0026342869666679813;7:0.002455309003850936","9:68;17:108;7:68","9:0.0030801742693897793;17:0.0025661078968583217;7:0.002744533904352503","0.083984375","Yes"
"9","98.13514003959516","93.61283935746148","0.0242919921875","0.04736328125","0.001220703125","1560","0.000250401765090765","32","0.000250401765090765","0","0.000250401765090765","0.000250401765090765","8:0.0025543627915578238;10:0.002619134183780958","8:68;10:68","8:0.0030801742693897793;10:0.0028570725354565563","0.0242919921875","Yes"
"10","247.90879769894198","271.09026080102205","0.0382080078125","0.02197265625","0.054443359375","1560","0.00012109414365077085","32","0.00012109414365077085","0","0.00012109414365077085","0.00012109414365077085","9:0.002619134183780958;11:0.0038608377400280725","9:68;11:68","9:0.0028570725354565563;11:0.0021583207621418132","0.0382080078125","Yes"
"11","131.5769661293675","34.208108304339824","0.0074462890625","0.008544921875","0.00634765625","1560","0.0002233998126700226","32","0.0002233998126700226","0","0.0002233998126700226","0.0002233998126700226","10:0.0038608377400280725;12:0.00571429814127275","10:68;12:68","10:0.0021583207621418132;12:0.004840376548312347","0.0074462890625","Yes"
"12","168.13441272145013","175.50387879074034","0.0238037109375","0.021728515625","0.02587890625","1560","0.0002862848218517495","32","0.0002862848218517495","0","0.0002862848218517495","0.0002862848218517495","18:0.0021633689235283915;13:0.002150399607875636;11:0.00571429814127275","18:68;13:68;11:68","18:0.0018035952707775582;13:0.0028344453753843535;11:0.004840376548312347","0.0238037109375","Yes"
"13","242.7655123494474","209.71707479713163","0.026123046875","0.022216796875","0.030029296875","1560","0.00023671732237795048","32","0.00023671732237795048","0","0.00023671732237795048","0.00023671732237795048","12:0.002150399607875636;14:0.001724866778303219","12:68;14:68","12:0.0028344453753843535;14:0.002048231656531785","0.026123046875","Yes"
"14","285.2284427771905","155.34765453019537","0.02978515625","0.01611328125","0.04345703125","1560","0.00013511135555726076","32","0.00013511135555726076","0","0.00013511135555726076","0.00013511135555726076","13:0.001724866778303219","13:68","13:0.002048231656531785","0.02978515625","Yes"
"15","184.4642889764457","35.25742891463818","0.017578125","0.029052734375","0.006103515625","1560","0.0007514949407642614","32","0.0007514949407642614","0","0.0007514949407642614","0.0007514949407642614","0:0.0019532345064771917;19:0.0035621891602526656","0:68;19:80","0:0.00284977121869337;19:0.003096617250196637","0.017578125","Yes"
"16","150.20013201551436","138.5666779692034","0.024658203125","0.014892578125","0.034423828125","1560","0.0002101384655048077","32","0.0002101384655048077","0","0.0002101384655048077","0.0002101384655048077","23:0.003448060819536164;4:0.001940470377334802","23:184;4:80","23:0.003437643531688739;4:0.0022634992047959046","0.024658203125","Yes"
"17","210.05094666345687","103.71835759981207","0.00634765625","0.009521484375","0.003173828125","1560","0.0003829297909011219","32","0.0003829297909011219","0","0.0003829297909011219","0.0003829297909011219","27:0.0034453896125513916;8:0.0026342869666679813","27:160;8:108","27:0.0036062833239324243;8:0.0025661078968583217","0.00634765625","Yes"
"18","171.87655833898398","170.90787094806777","0.00634765625","0.005615234375","0.007080078125","1560","0.00023743836815825713","32","0.00023743836815825713","0","0.00023743836815825713","0.00023743836815825713","12:0.0021633689235283915;31:0.012388249524913603","12:68;31:68","12:0.0018035952707775582;31:0.009650543547010004","0.00634765625","Yes"
"19","140.17922609974178","230.21691719199748","0.0672607421875","0.0869140625","0.047607421875","1560","0.0007789503018020074","32","0.0007789503018020074","0","0.0007789503018020074","0.0007789503018020074","20:0.004176551896015984;15:0.0035621891602526656","20:108;15:80","20:0.004127962909250077;15:0.003096617250196637","0.0672607421875","Yes"
"20","232.022769231301","124.93278679876637","0.0115966796875","0.014892578125","0.00830078125","1560","0.00018395287666353504","32","0.00018395287666353504","0","0.00018395287666353504","0.00018395287666353504","19:0.004176551896015984","19:108;21:68","19:0.004127962909250077","0.0115966796875","Yes"
"21","84.3189744527019","22.145682049053637","0.0833740234375","0.07470703125","0.092041015625","1560","0.0010077662021557177","32","0.0010077662021557177","0","0.0010077662021557177","0.0010077662021557177","34:0.002282828717936336;22:0.0028439150111224942","34:68;20:68;22:68","34:0.0018449052546264666","0.0833740234375","Yes"
"22","72.55680200904271","84.16201481575386","0.03466796875","0.048583984375","0.020751953125","1560","0.0005085772539839053","32","0.0005085772539839053","0","0.0005085772539839053","0.0005085772539839053","23:0.003989834065640824;21:0.0028439150111224942","23:68;21:68","23:0.0038176880342039865","0.03466796875","Yes"
"23","190.32791599405894","230.2368075618411","0.03271484375","0.0390625","0.0302734375","1560","0.00014036127092442057","32","0.00014036127092442057","0","0.00014036127092442057","0.00014036127092442057","22:0.003989834065640824;24:0.0014163856736845726;16:0.003448060819536164","22:68;24:68;16:184","22:0.0038176880342039865;24:0.0016139732050864108;16:0.003437643531688739","0.03271484375","Yes"
"24","130.20127982911447","136.6105280401173","0.0333251953125","0.017333984375","0.04931640625","1560","0.00021728173492011873","32","0.00021728173492011873","0","0.00021728173492011873","0.00021728173492011873","23:0.0014163856736845726;25:0.002000994828227576","23:68;25:68","23:0.0016139732050864108;25:0.001578849521571335","0.0333251953125","Yes"
"25","243.0975412834442","278.35290897734177","0.09619140625","0.08642578125","0.10595703125","1560","0.00028648019067090575","32","0.00028648019067090575","0","0.00028648019067090575","0.00028648019067090575","24:0.002000994828227576;26:0.0016062093588758986;35:0.003394327239156808","24:68;26:68;35:108","24:0.001578849521571335;26:0.0014204189701989278;35:0.003379087341821796","0.09619140625","Yes"
"26","170.1906905023123","145.54416541971625","0.0465087890625","0.04931640625","0.043701171875","1560","0.00029088915507403923","32","0.00029088915507403923","0","0.00029088915507403923","0.00029088915507403923","25:0.0016062093588758986;27:0.001229005051022275","25:68;27:68","25:0.0014204189701989278;27:0.0018832817656729561","0.0465087890625","Yes"
"27","89.31913438759048","118.15068310201801","0.059326171875","0.04248046875","0.076171875","1560","0.00039262208494379486","32","0.00039262208494379486","0","0.00039262208494379486","0.00039262208494379486","26:0.001229005051022275;28:0.002961230270777576;17:0.0034453896125513916","26:68;28:80;17:160","26:0.0018832817656729561;28:0.0017643593551730508;17:0.0036062833239324243","0.059326171875","Yes"
"28","197.75954497920998","193.11948374727734","0.0068359375","0.006591796875","0.007080078125","1560","0.00022091118408820284","32","0.00022091118408820284","0","0.00022091118408820284","0.00022091118408820284","27:0.002961230270777576;29:0.0027998675634411385","27:80;29:116","27:0.0017643593551730508;29:0.00281316298145759","0.0068359375","Yes"
"29","150.00491359945556","136.82854858144955","0.0211181640625","0.01025390625","0.031982421875","1560","0.0003598417602431446","32","0.0003598417602431446","0","0.0003598417602431446","0.0003598417602431446","36:0.002054530574328639;28:0.0027998675634411385;30:0.0021967651338831995","36:68;28:116;30:68","36:0.0021410503147848425;28:0.00281316298145759;30:0.0019875759722735864","0.0211181640625","Yes"
"30","233.41650570152586","151.25850842289753","0.016357421875","0.006103515625","0.026611328125","1560","0.00032177256105111335","32","0.00032177256105111335","0","0.00032177256105111335","0.00032177256105111335","31:0.002203015097431482;29:0.0021967651338831995","31:68;29:68","31:0.00167477669547203;29:0.0019875759722735864","0.016357421875","Yes"
"31","208.25227763506095","176.51903447920938","0.0780029296875","0.07177734375","0.084228515625","1560","0.00038657774063861054","32","0.00038657774063861054","0","0.00038657774063861054","0.00038657774063861054","30:0.002203015097431482;32:0.0032925407350175295;18:0.012388249524913603","30:68;32:68;18:68","30:0.00167477669547203;32:0.002284011470815972;18:0.009650543547010004","0.0780029296875","Yes"
