"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","51.59132695533921","50.550553746903184","0.0142822265625","0.026611328125","0.001953125","1560","0.0016325453933588865","24","0.0016325453933588865","0","0.0016325453933588865","0.0016325453933588865","1:0.008638030754767684","1:68","1:0.006674581001632346","0.0142822265625","Yes"
"1","150.60689145811983","172.03099956391435","0.021484375","0.0263671875","0.0166015625","1560","0.00035168238349114864","24","0.00035168238349114864","0","0.00035168238349114864","0.00035168238349114864","2:0.0022073728303707296;0:0.008638030754767684","2:68;0:68","2:0.0019238964832553884;0:0.006674581001632346","0.021484375","Yes"
"2","211.17261081716498","164.6268102277924","0.0052490234375","0.004638671875","0.005859375","1560","0.00014582690121172343","24","0.00014582690121172343","0","0.00014582690121172343","0.00014582690121172343","1:0.0022073728303707296;3:0.0019510574205183484","1:68;3:68","1:0.0019238964832553884;3:0.0017273663129741268","0.0052490234375","Yes"
"3","291.4064589509597","245.21741486893342","0.0213623046875","0.021484375","0.021240234375","1560","0.00024389214660980814","24","0.00024389214660980814","0","0.00024389214660980814","0.00024389214660980814","16:0.0022047796591240787;2:0.0019510574205183484;4:0.0019289036910073165","16:68;2:68;4:68","16:0.0018682685115942732;2:0.0017273663129741268;4:0.002524682551454188","0.0213623046875","Yes"
"4","168.33444054247337","140.97822881901692","0.004150390625","0.007568359375","0.000732421875","1560","0.00021264973022560766","24","0.00021264973022560766","0","0.00021264973022560766","0.00021264973022560766","3:0.0019289036910073165;5:0.004440267948744303","3:68;5:68","3:0.002524682551454188;5:0.005420298507060439","0.004150390625","Yes"
"5","225.05652077356865","201.48901069946356","0.0201416015625","0.03369140625","0.006591796875","1560","0.00035736180329751493","24","0.00035736180329751493","0","0.00035736180329751493","0.00035736180329751493","6:0.011755133410967344;4:0.004440267948744303","6:68;4:68","6:0.008993416285003414;4:0.005420298507060439","0.0201416015625","Yes"
"6","150.78540061256118","99.05122284603331","0.0062255859375","0.00634765625","0.006103515625","1560","0.0002557331228935506","24","0.0002557331228935506","0","0.0002557331228935506","0.0002557331228935506","5:0.011755133410967344;7:0.0028503035754620376","5:68;7:68","5:0.008993416285003414;7:0.002894364335559646","0.0062255859375","Yes"
"7","143.04075631643596","41.64492944816708","0.02099609375","0.0302734375","0.01171875","1560","0.0005140665062937765","24","0.0005140665062937765","0","0.0005140665062937765","0.0005140665062937765","17:0.0037153979621125377;6:0.0028503035754620376;8:0.002884370295645422","17:68;6:68;8:68","17:0.0034985520287646177;6:0.002894364335559646;8:0.004516588688531664","0.02099609375","Yes"
"8","209.0912986942492","58.34639973813847","0.0062255859375","0.00927734375","0.003173828125","1560","0.00022978973131275576","24","0.00022978973131275576","0","0.00022978973131275576","0.00022978973131275576","9:0.0024402865674821583;7:0.002884370295645422","9:68;7:68","9:0.002626528409923584;7:0.004516588688531664","0.0062255859375","Yes"
"9","215.38386159782192","32.21971696084399","0.01318359375","0.01611328125","0.01025390625","1560","0.0002003109345013243","24","0.0002003109345013243","0","0.0002003109345013243","0.0002003109345013243","8:0.0024402865674821583;10:0.0020003776229197967","8:68;10:68","8:0.002626528409923584;10:0.0018751199699902354","0.01318359375","Yes"
"10","139.2269518026085","109.21661392436235","0.0059814453125","0.0078125","0.00732421875","1560","0.0002456334006462205","24","0.0002456334006462205","0","0.0002456334006462205","0.0002456334006462205","9:0.0020003776229197967;11:0.006348622154659811","9:68;11:68","9:0.0018751199699902354;11:0.009454062589093343","0.0059814453125","Yes"
"11","154.08725162173178","80.48849856508028","0.0364990234375","0.039794921875","0.033203125","1560","0.0008468359859777283","24","0.0008468359859777283","0","0.0008468359859777283","0.0008468359859777283","18:0.014696635075204995;10:0.006348622154659811;12:0.0059012766825057295","18:68;10:68;12:68","18:0.020073374669090926;10:0.009454062589093343;12:0.009094088186018978","0.0364990234375","Yes"
"12","60.22553424788207","65.74569732062047","0.02099609375","0.031005859375","0.010986328125","1560","0.0005817828026689516","24","0.0005817828026689516","0","0.0005817828026689516","0.0005817828026689516","13:0.0027738758750839587;11:0.0059012766825057295","13:68;11:68","13:0.0034314613226553714;11:0.009094088186018978","0.02099609375","Yes"
"13","248.93893374470468","175.25719008549666","0.015869140625","0.01416015625","0.017578125","1560","0.00045020928313855603","24","0.00045020928313855603","0","0.00045020928313855603","0.00045020928313855603","12:0.0027738758750839587;14:0.0016122269996702299","12:68;14:68","12:0.0034314613226553714;14:0.0013598531373546219","0.015869140625","Yes"
"14","244.16774782426506","73.21506693039275","0.0054931640625","0.006103515625","0.0048828125","1560","0.0004148082641169226","24","0.0004148082641169226","0","0.0004148082641169226","0.0004148082641169226","15:0.0013217632068869;13:0.0016122269996702299","15:68;13:68","15:0.0015237046580057478;13:0.0013598531373546219","0.0054931640625","Yes"
"15","284.6357252091552","187.32817323550097","0.01708984375","0.026123046875","0.008056640625","1560","0.0000702272177878188","24","0.0000702272177878188","0","0.0000702272177878188","0.0000702272177878188","14:0.0013217632068869;19:0.0019256234447651843","14:68;19:68","14:0.0015237046580057478;19:0.002030168737600868","0.01708984375","Yes"
"16","141.48462264873308","122.76386365596423","0.005859375","0.010986328125","0.000732421875","1560","0.00015506969076091307","24","0.00015506969076091307","0","0.00015506969076091307","0.00015506969076091307","23:0.0019221957019789904;3:0.0022047796591240787","23:68;3:68","23:0.0018894710925126679;3:0.0018682685115942732","0.005859375","Yes"
"17","157.51780581064304","98.4985782095021","0.0054931640625","0.0087890625","0.002197265625","1560","0.0001929934630377945","24","0.0001929934630377945","0","0.0001929934630377945","0.0001929934630377945","7:0.0037153979621125377;27:0.023112015225472515","7:68;27:68","7:0.0034985520287646177;27:0.0360290507782004","0.0054931640625","Yes"
"18","121.30579308500919","62.86759092488531","0.0086669921875","0.014404296875","0.0029296875","1560","0.0003506897689235068","24","0.0003506897689235068","0","0.0003506897689235068","0.0003506897689235068","11:0.014696635075204995;31:0.0039250055336488565","11:68;31:68","11:0.020073374669090926;31:0.0029515362209646123","0.0086669921875","Yes"
