"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","255.80102864767917","88.57780965889728","0.0238037109375","0.044921875","0.002685546875","2584","0.0002544709120009298","36","0.0002544709120009298","0","0.0002544709120009298","0.0002544709120009298","1:0.0016939714890983337","1:68","1:0.001968397242351566","0.0238037109375","Yes"
"1","187.545065405622","151.12456758413055","0.0091552734375","0.0068359375","0.011474609375","2584","0.00019320741006216387","36","0.00019320741006216387","0","0.00019320741006216387","0.00019320741006216387","2:0.0009721780294753013;0:0.0016939714890983337","2:68;0:68","2:0.0010891296562914599;0:0.001968397242351566","0.0091552734375","Yes"
"2","375.09990274224606","486.94470377744096","0.003662109375","0.005859375","0.00146484375","2584","0.0002265976606646537","36","0.0002265976606646537","0","0.0002265976606646537","0.0002265976606646537","1:0.0009721780294753013;3:0.0012000127573748576","1:68;3:68","1:0.0010891296562914599;3:0.0011997681413122852","0.003662109375","Yes"
"3","340.44545067393597","304.3105810208676","0.004638671875","0.00634765625","0.0029296875","2584","0.00033619083340111726","36","0.00033619083340111726","0","0.00033619083340111726","0.00033619083340111726","16:0.0019306835533896283;2:0.0012000127573748576;4:0.00199215683602999","16:68;2:68;4:80","16:0.0015265241890439762;2:0.0011997681413122852;4:0.001641160477894199","0.004638671875","Yes"
"4","187.63075193159762","149.6142853373584","0.0216064453125","0.0419921875","0.001220703125","2584","0.00031826486967743013","36","0.00031826486967743013","0","0.00031826486967743013","0.00031826486967743013","3:0.00199215683602999;5:0.0022134879164539822","3:80;5:68","3:0.001641160477894199;5:0.0020997139465183667","0.0216064453125","Yes"
"5","287.8047311782648","211.81210720886708","0.0048828125","0.006591796875","0.003173828125","2584","0.00017767597591421228","36","0.00017767597591421228","0","0.00017767597591421228","0.00017767597591421228","6:0.0016362147102732538;4:0.0022134879164539822","6:68;4:68","6:0.0014683519617676721;4:0.0020997139465183667","0.0048828125","Yes"
"6","298.713887853288","266.40875528297937","0.0064697265625","0.00732421875","0.005615234375","2584","0.0004212403556791723","36","0.0004212403556791723","0","0.0004212403556791723","0.0004212403556791723","5:0.0016362147102732538;7:0.0014286211902926338","5:68;7:68","5:0.0014683519617676721;7:0.001696095082955762","0.0064697265625","Yes"
"7","302.79569789060207","150.11509214980188","0.00634765625","0.011474609375","0.001220703125","2584","0.00018875810301084196","36","0.00018875810301084196","0","0.00018875810301084196","0.00018875810301084196","17:0.002260862559939375;6:0.0014286211902926338;8:0.00233782864168236","17:68;6:68;8:80","17:0.0027731391331630717;6:0.001696095082955762;8:0.002095496031343319","0.00634765625","Yes"
"8","229.0510514152967","135.4228298863343","0.008056640625","0.01611328125","0","2584","0.0002917798591003737","36","0.0002917798591003737","0","0.0002917798591003737","0.0002917798591003737","9:0.003280002441164692;7:0.00233782864168236","9:68;7:80","9:0.0017022823898899808;7:0.002095496031343319","0.008056640625","Yes"
"9","193.11831689707614","259.645741488342","0.0284423828125","0.021240234375","0.03564453125","2584","0.00015369231169039003","36","0.00015369231169039003","0","0.00015369231169039003","0.00015369231169039003","8:0.003280002441164692;10:0.0019345331599450732","8:68;10:68","8:0.0017022823898899808;10:0.0010706446961388227","0.0284423828125","Yes"
"10","230.08684152432795","180.3578335630118","0.0047607421875","0.01171875","0.00341796875","2584","0.00027688663026741433","36","0.00027688663026741433","0","0.00027688663026741433","0.00027688663026741433","9:0.0019345331599450732;11:0.001712925327362308","9:68;11:68","9:0.0010706446961388227;11:0.0011963678783963871","0.0047607421875","Yes"
"11","308.24969678076513","194.3190246391655","0.0140380859375","0.02197265625","0.006103515625","2584","0.00022095539640673315","36","0.00022095539640673315","0","0.00022095539640673315","0.00022095539640673315","18:0.0018078581078344036;10:0.001712925327362308;12:0.0014262978065325005","18:68;10:68;12:68","18:0.001770686177422487;10:0.0011963678783963871;12:0.0011294550380681612","0.0140380859375","Yes"
"12","268.78746364642666","161.84097896564333","0.00341796875","0.005615234375","0.001220703125","2584","0.00019377563055871912","36","0.00019377563055871912","0","0.00019377563055871912","0.00019377563055871912","13:0.0016002418774713756;11:0.0014262978065325005","13:80;11:68","13:0.0012243739968052503;11:0.0011294550380681612","0.00341796875","Yes"
"13","198.27884606733042","201.25060496009493","0.0430908203125","0.029052734375","0.05712890625","2584","0.0002306300183681296","36","0.0002306300183681296","0","0.0002306300183681296","0.0002306300183681296","12:0.0016002418774713756;14:0.0012281495585011182","12:80;14:80","12:0.0012243739968052503;14:0.0016871259221475365","0.0430908203125","Yes"
"14","52.99220586291763","54.83527737218499","0.0028076171875","0.004638671875","0.0009765625","2584","0.00014855332529304415","36","0.00014855332529304415","0","0.00014855332529304415","0.00014855332529304415","15:0.0013107470248849562;13:0.0012281495585011182","15:68;13:80","15:0.0013678886726481987;13:0.0016871259221475365","0.0028076171875","Yes"
"15","379.90918046914663","29.250430672396824","0.0047607421875","0.00732421875","0.002197265625","2584","0.00015319749295734404","36","0.00015319749295734404","0","0.00015319749295734404","0.00015319749295734404","14:0.0013107470248849562;19:0.0014387204204023285","14:68;19:68","14:0.0013678886726481987;19:0.0014452696997420134","0.0047607421875","Yes"
