"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","161.82733281634913","20.732969671355573","0.1307373046875","0.145263671875","0.1162109375","1560","0.0002734370554158446","32","0.0002734370554158446","0","0.0002734370554158446","0.0002734370554158446","15:0.001752160921491469;1:0.002356254204571556","15:68;1:68","15:0.0030017590369048885;1:0.0022227383045329285","0.1307373046875","Yes"
"1","197.49449829846643","86.304928342471","0.060791015625","0.0390625","0.08251953125","1560","0.0002478625726526927","32","0.0002478625726526927","0","0.0002478625726526927","0.0002478625726526927","2:0.0022609100628634693;0:0.002356254204571556","2:68;0:68","2:0.002049522495286671;0:0.0022227383045329285","0.060791015625","Yes"
"2","160.36446821918506","148.62894768531024","0.0380859375","0.052001953125","0.024169921875","1560","0.0001657955726449593","32","0.0001657955726449593","0","0.0001657955726449593","0.0001657955726449593","1:0.0022609100628634693;3:0.0015619168128995498","1:68;3:68","1:0.002049522495286671;3:0.001804549001775485","0.0380859375","Yes"
"3","232.07974099527746","175.79690709230917","0.02099609375","0.022216796875","0.019775390625","1560","0.00026668498791572156","32","0.00026668498791572156","0","0.00026668498791572156","0.00026668498791572156","2:0.0015619168128995498;4:0.0018694907259882154","2:68;4:68","2:0.001804549001775485;4:0.0016981486580882055","0.02099609375","Yes"
"4","111.54558443552023","102.85631126566604","0.0416259765625","0.055908203125","0.02734375","1560","0.0003764988794376151","32","0.0003764988794376151","0","0.0003764988794376151","0.0003764988794376151","3:0.0018694907259882154;5:0.0022669661158967735;16:0.001643598294398696","3:68;5:68;16:80","3:0.0016981486580882055;5:0.0022832818022917034;16:0.0016773128634864631","0.0416259765625","Yes"
"5","199.8921397976584","190.20875116811007","0.03173828125","0.020263671875","0.043212890625","1560","0.0002485224104568841","32","0.0002485224104568841","0","0.0002485224104568841","0.0002485224104568841","6:0.002499207965698663;4:0.0022669661158967735","6:68;4:68","6:0.00202253121974022;4:0.0022832818022917034","0.03173828125","Yes"
"6","44.00795738912383","77.2411837308698","0.0128173828125","0.02685546875","0.002685546875","1560","0.0004604401043102843","32","0.0004604401043102843","0","0.0004604401043102843","0.0004604401043102843","5:0.002499207965698663;7:0.0024969398322090552","5:68;7:68","5:0.00202253121974022;7:0.0025792667599449925","0.0128173828125","Yes"
"7","194.7634473073325","131.84608088355165","0.0880126953125","0.05908203125","0.116943359375","1560","0.000871982672057447","32","0.000871982672057447","0","0.000871982672057447","0.000871982672057447","6:0.0024969398322090552;8:0.0019828306647604044","6:68;8:68","6:0.0025792667599449925;8:0.0023018602829702473","0.0880126953125","Yes"
"8","239.47112140371746","253.71501106879546","0.0728759765625","0.0576171875","0.088134765625","1560","0.00036934283514134387","32","0.00036934283514134387","0","0.00036934283514134387","0.00036934283514134387","9:0.002292207543560215;17:0.002580476371976531;7:0.0019828306647604044","9:68;17:108;7:68","9:0.0028764677175433517;17:0.0026636885898511653;7:0.0023018602829702473","0.0728759765625","Yes"
"9","98.12274322663666","98.7901431333482","0.0220947265625","0.036865234375","0.00732421875","1560","0.0004581747108926069","32","0.0004581747108926069","0","0.0004581747108926069","0.0004581747108926069","8:0.002292207543560215;10:0.0019995527802149082","8:68;10:68","8:0.0028764677175433517;10:0.002258212818565558","0.0220947265625","Yes"
