"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"0","54.83074808735066","46.889125237636094","0.46435546875","0.6611328125","0.267578125","1560","0.0026559707895801163","24","0.0026559707895801163","0","0.0026559707895801163","0.0026559707895801163","1:68","1:0.014754087019305279","1:0.013000849087328847","0.46435546875","Yes"
"1","221.5968310111571","230.3745689967551","0.475830078125","0.3369140625","0.61474609375","1560","0.0002821176513054351","24","0.0002821176513054351","0","0.0002821176513054351","0.0002821176513054351","2:68;0:68","2:0.0019955564525951652;0:0.014754087019305279","2:0.003552226383292084;0:0.013000849087328847","0.475830078125","Yes"
"2","263.9513542413012","160.62479608238166","0.49853515625","0.27392578125","0.72314453125","1560","0.0001926646268313995","24","0.0001926646268313995","0","0.0001926646268313995","0.0001926646268313995","1:68;3:68","1:0.0019955564525951652;3:0.0017420575392725346","1:0.003552226383292084;3:0.0017123310529423008","0.49853515625","Yes"
"3","201.66617010215157","212.08276572979656","0.4619140625","0.396484375","0.52734375","1560","0.0002227933703267034","24","0.0002227933703267034","0","0.0002227933703267034","0.0002227933703267034","16:68;2:68;4:68","16:0.0019288845563029955;2:0.0017420575392725346;4:0.002605657048761062","16:0.001985655036459838;2:0.0017123310529423008;4:0.0023268438971179584","0.4619140625","Yes"
"4","215.923641982616","149.06451262916505","0.008544921875","0.01318359375","0.00390625","1560","0.00020337341801364114","24","0.00020337341801364114","0","0.00020337341801364114","0.00020337341801364114","3:68;5:68","3:0.002605657048761062;5:0.0025837255088161093","3:0.0023268438971179584;5:0.005643084395596576","0.008544921875","Yes"
"5","216.17661875266828","104.61645729898467","0.006103515625","0.00634765625","0.005859375","1560","0.00023215516940214566","24","0.00023215516940214566","0","0.00023215516940214566","0.00023215516940214566","6:68;4:68","6:0.005527869840036587;4:0.0025837255088161093","6:0.015473552121050005;4:0.005643084395596576","0.006103515625","Yes"
"6","208.8282774074657","135.99099935225814","0.0068359375","0.0048828125","0.0087890625","1560","0.00030110811174462334","24","0.00030110811174462334","0","0.00030110811174462334","0.00030110811174462334","5:68;7:68","5:0.005527869840036587;7:0.004178738769975071","5:0.015473552121050005;7:0.003774775274441089","0.0068359375","Yes"
"7","124.29414059585933","42.81360770695915","0.016845703125","0.02392578125","0.009765625","1560","0.00031696857225242415","24","0.00031696857225242415","0","0.00031696857225242415","0.00031696857225242415","17:68;6:68;8:68","17:0.003653159377696391;6:0.004178738769975071;8:0.0035162886203244093","17:0.003710172502022907;6:0.003774775274441089;8:0.00580034080189723","0.016845703125","Yes"
"8","155.43424011840722","43.9219674341047","0.495849609375","0.4228515625","0.56884765625","1560","0.001416116637436647","24","0.001416116637436647","0","0.001416116637436647","0.001416116637436647","9:68;7:68","9:0.0028251421999526682;7:0.0035162886203244093","9:0.00710685077089937;7:0.00580034080189723","0.495849609375","Yes"
"9","256.72568370227157","28.488439774995864","0.502197265625","0.38623046875","0.6181640625","1560","0.00032143082569206777","24","0.00032143082569206777","0","0.00032143082569206777","0.00032143082569206777","8:68;10:68","8:0.0028251421999526682;10:0.0023489644948661847","8:0.00710685077089937;10:0.0020853520818699123","0.502197265625","Yes"
