"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","270.14953730147056","68.49718082025595","0.02587890625","0.048095703125","0.003662109375","2584","0.0005047925881133001","36","0.0005047925881133001","0","0.0005047925881133001","0.0005047925881133001","1:0.002186248575722971","1:68","1:0.0018215604591870493","0.02587890625","Yes"
"1","135.0079527103627","126.27637177164034","0.0029296875","0.005126953125","0.000732421875","2584","0.00015355010896726064","36","0.00015355010896726064","0","0.00015355010896726064","0.00015355010896726064","2:0.0011979614119484172;0:0.002186248575722971","2:68;0:68","2:0.0009489633636984296;0:0.0018215604591870493","0.0029296875","Yes"
"2","291.2329465996658","426.55865609941236","0.0062255859375","0.00927734375","0.003173828125","2584","0.0001596845452924788","36","0.0001596845452924788","0","0.0001596845452924788","0.0001596845452924788","1:0.0011979614119484172;3:0.0015462348095230116","1:68;3:68","1:0.0009489633636984296;3:0.0013350073386192984","0.0062255859375","Yes"
"3","187.49900146147607","148.46092372405184","0.0076904296875","0.0107421875","0.004638671875","2584","0.000213450142512601","36","0.000213450142512601","0","0.000213450142512601","0.000213450142512601","16:0.0025434604724289267;2:0.0015462348095230116;4:0.0016831192817283458","16:68;2:68;4:80","16:0.0031180859244228365;2:0.0013350073386192984;4:0.0016255798509993702","0.0076904296875","Yes"
"4","196.0001321118118","93.15063407608392","0.0096435546875","0.0185546875","0.000732421875","2584","0.0002389544153626053","36","0.0002389544153626053","0","0.0002389544153626053","0.0002389544153626053","3:0.0016831192817283458;5:0.001812708327382312","3:80;5:68","3:0.0016255798509993702;5:0.0024789650700660915","0.0096435546875","Yes"
"5","301.09667576417576","95.12073406835816","0.003173828125","0.005615234375","0.000732421875","2584","0.0003685236319656152","36","0.0003685236319656152","0","0.0003685236319656152","0.0003685236319656152","6:0.001171198735383544;4:0.001812708327382312","6:68;4:68","6:0.0014724625968359217;4:0.0024789650700660915","0.003173828125","Yes"
"6","339.89650816752936","153.51361116309","0.0048828125","0.007568359375","0.002197265625","2584","0.00021604725501521676","36","0.00021604725501521676","0","0.00021604725501521676","0.00021604725501521676","5:0.001171198735383544;7:0.00112792461090791","5:68;7:68","5:0.0014724625968359217;7:0.001424626036955895","0.0048828125","Yes"
"7","199.65365682139915","69.65734140076532","0.003662109375","0.005859375","0.00146484375","2584","0.00017166402493605902","36","0.00017166402493605902","0","0.00017166402493605902","0.00017166402493605902","17:0.0015285733458552941;6:0.00112792461090791;8:0.0018857028493952932","17:68;6:68;8:80","17:0.001958420572189562;6:0.001424626036955895;8:0.0020803197855660815","0.003662109375","Yes"
"8","291.4737243307906","47.82296873774801","0.0047607421875","0.00732421875","0.002197265625","2584","0.00021023205737352968","36","0.00021023205737352968","0","0.00021023205737352968","0.00021023205737352968","9:0.0023522136714314856;7:0.0018857028493952932","9:68;7:80","9:0.0017121227374854164;7:0.0020803197855660815","0.0047607421875","Yes"
"9","182.31162025994055","137.60413235603036","0.019287109375","0.015380859375","0.023193359375","2584","0.00019915550587127308","36","0.00019915550587127308","0","0.00019915550587127308","0.00019915550587127308","8:0.0023522136714314856;10:0.0012199409313851661","8:68;10:68","8:0.0017121227374854164;10:0.0011088358847347601","0.019287109375","Yes"
"10","265.50780997053187","125.91126301849992","0.0054931640625","0.00732421875","0.003662109375","2584","0.00034901043967395666","36","0.00034901043967395666","0","0.00034901043967395666","0.00034901043967395666","9:0.0012199409313851661;11:0.00222985146195534","9:68;11:68","9:0.0011088358847347601;11:0.001407691036562797","0.0054931640625","Yes"
"11","128.48513463668374","39.71924826683361","0.0115966796875","0.015625","0.007568359375","2584","0.00021599398703155037","36","0.00021599398703155037","0","0.00021599398703155037","0.00021599398703155037","18:0.0018418461613058101;10:0.00222985146195534;12:0.0012747482471313076","18:68;10:68;12:68","18:0.0019544022756388946;10:0.001407691036562797;12:0.0015334151152028297","0.0115966796875","Yes"
"12","203.70727306506706","107.94265488122181","0.007080078125","0.012451171875","0.001708984375","2584","0.0002331551333419194","36","0.0002331551333419194","0","0.0002331551333419194","0.0002331551333419194","13:0.0017853990537141096;11:0.0012747482471313076","13:80;11:68","13:0.001613115076659094;11:0.0015334151152028297","0.007080078125","Yes"
"13","208.6925184866328","209.05828203417386","0.109130859375","0.065673828125","0.152587890625","2584","0.0004164611126947432","36","0.0004164611126947432","0","0.0004164611126947432","0.0004164611126947432","12:0.0017853990537141096;14:0.0010942113089308092","12:80;14:80","12:0.001613115076659094;14:0.0013518266637522758","0.109130859375","Yes"
"14","339.2994571819323","94.58423971886327","0.0023193359375","0.004150390625","0.00048828125","2584","0.0001728553183055955","36","0.0001728553183055955","0","0.0001728553183055955","0.0001728553183055955","15:0.0020016943870329595;13:0.0010942113089308092","15:68;13:80","15:0.0010279920053491987;13:0.0013518266637522758","0.0023193359375","Yes"
