"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","166.81969916103276","154.34794817236354","0.1279296875","0.133056640625","0.122802734375","1560","0.00035783436075921825","32","0.00035783436075921825","0","0.00035783436075921825","0.00035783436075921825","15:0.0025531192030750494;1:0.002015686006257511","15:68;1:68","15:0.002456289764694225;1:0.0019483054899808172","0.1279296875","Yes"
"1","85.24197180547222","112.37601802407649","0.053955078125","0.044921875","0.06298828125","1560","0.0002364729964534395","32","0.0002364729964534395","0","0.0002364729964534395","0.0002364729964534395","2:0.0032929529878226727;0:0.002015686006257511","2:68;0:68","2:0.002917954740299711;0:0.0019483054899808172","0.053955078125","Yes"
"2","144.67114894246822","161.6873637181149","0.041748046875","0.044921875","0.03857421875","1560","0.00030274773659279546","32","0.00030274773659279546","0","0.00030274773659279546","0.00030274773659279546","1:0.0032929529878226727;3:0.002263115643541813","1:68;3:68","1:0.002917954740299711;3:0.0021829246292439097","0.041748046875","Yes"
"3","79.70918267309882","96.621314966503","0.015869140625","0.023193359375","0.008544921875","1560","0.00035798813136950436","32","0.00035798813136950436","0","0.00035798813136950436","0.00035798813136950436","2:0.002263115643541813;4:0.0021046831877173933","2:68;4:68","2:0.0021829246292439097;4:0.003295482048219278","0.015869140625","Yes"
"4","152.83852479088884","212.69047596932435","0.03759765625","0.043701171875","0.031494140625","1560","0.00019538516576812247","32","0.00019538516576812247","0","0.00019538516576812247","0.00019538516576812247","3:0.0021046831877173933;5:0.0029548158544496494;16:0.0017313062072800978","3:68;5:68;16:80","3:0.003295482048219278;5:0.0022926745533518034;16:0.0018988146173563314","0.03759765625","Yes"
"5","252.89184845922367","184.0940172108662","0.02880859375","0.01318359375","0.04443359375","1560","0.000206893703560046","32","0.000206893703560046","0","0.000206893703560046","0.000206893703560046","6:0.0023128286958320476;4:0.0029548158544496494","6:68;4:68","6:0.002294391840895388;4:0.0022926745533518034","0.02880859375","Yes"
"6","43.337786270533606","86.05234326423343","0.0120849609375","0.025390625","0.003662109375","1560","0.0004463470113250069","32","0.0004463470113250069","0","0.0004463470113250069","0.0004463470113250069","5:0.0023128286958320476;7:0.0018739336499621895","5:68;7:68","5:0.002294391840895388;7:0.001960798355664345","0.0120849609375","Yes"
"7","186.46759405359916","120.91940629384925","0.0782470703125","0.055419921875","0.10107421875","1560","0.00032324184014472196","32","0.00032324184014472196","0","0.00032324184014472196","0.00032324184014472196","6:0.0018739336499621895;8:0.0016950948659227305","6:68;8:68","6:0.001960798355664345;8:0.002032390705714454","0.0782470703125","Yes"
"8","103.60294075013054","71.81635347853232","0.060791015625","0.05517578125","0.06640625","1560","0.0002632114507853981","32","0.0002632114507853981","0","0.0002632114507853981","0.0002632114507853981","9:0.0021851644754566635;17:0.0027560194202149724;7:0.0016950948659227305","9:68;17:108;7:68","9:0.002104258297400796;17:0.002915143043075996;7:0.002032390705714454","0.060791015625","Yes"
"9","108.03408296767329","111.0059439632441","0.0179443359375","0.03173828125","0.004150390625","1560","0.00023758072298432563","32","0.00023758072298432563","0","0.00023758072298432563","0.00023758072298432563","8:0.0021851644754566635;10:0.002041486790837571","8:68;10:68","8:0.002104258297400796;10:0.0019738797931146967","0.0179443359375","Yes"
