"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","51.59132695533921","41.88976077838555","0.011962890625","0.0224609375","0.00146484375","1560","0.0016982569978764973","24","0.0016982569978764973","0","0.0016982569978764973","0.0016982569978764973","1:0.0067608125830869725","1:68","1:0.006989337841838694","0.011962890625","Yes"
"1","190.01354105091923","209.59991189518908","0.0218505859375","0.029052734375","0.0146484375","1560","0.0008345634211278984","24","0.0008345634211278984","0","0.0008345634211278984","0.0008345634211278984","2:0.002417042598890695;0:0.0067608125830869725","2:68;0:68","2:0.0021071474610005747;0:0.006989337841838694","0.0218505859375","Yes"
"2","222.67454294432358","145.66505852325946","0.0062255859375","0.00732421875","0.005126953125","1560","0.00018515914915051568","24","0.00018515914915051568","0","0.00018515914915051568","0.00018515914915051568","1:0.002417042598890695;3:0.0015036178669571854","1:68;3:68","1:0.0021071474610005747;3:0.0016102493645864524","0.0062255859375","Yes"
"3","267.5590867224096","262.7278962021451","0.0233154296875","0.020263671875","0.0263671875","1560","0.00021386856666276454","24","0.00021386856666276454","0","0.00021386856666276454","0.00021386856666276454","16:0.0018997766330358656;2:0.0015036178669571854;4:0.0016978992297143336","16:68;2:68;4:68","16:0.0019792406603941215;2:0.0016102493645864524;4:0.0021260660099255146","0.0233154296875","Yes"
"4","167.07306176241588","128.24078560950593","0.0048828125","0.00732421875","0.00244140625","1560","0.00024953010309121496","24","0.00024953010309121496","0","0.00024953010309121496","0.00024953010309121496","3:0.0016978992297143336;5:0.00465382366733616","3:68;5:68","3:0.0021260660099255146;5:0.0032113422654991286","0.0048828125","Yes"
"5","225.05652077356865","18.338173074441865","0.008056640625","0.010009765625","0.006103515625","1560","0.0003817143409346256","24","0.0003817143409346256","0","0.0003817143409346256","0.0003817143409346256","6:0.0050347963241861304;4:0.00465382366733616","6:68;4:68","6:0.0029837190907889555;4:0.0032113422654991286","0.008056640625","Yes"
"6","182.60353111075827","121.16204032687452","0.010009765625","0.009033203125","0.010986328125","1560","0.00032543321687678197","24","0.00032543321687678197","0","0.00032543321687678197","0.00032543321687678197","5:0.0050347963241861304;7:0.0024709440141452155","5:68;7:68","5:0.0029837190907889555;7:0.0026957037326841293","0.010009765625","Yes"
"7","154.71737388533515","41.46409543133445","0.0775146484375","0.146484375","0.008544921875","1560","0.00033844146747136585","24","0.00033844146747136585","0","0.00033844146747136585","0.00033844146747136585","17:0.0026712223703519444;6:0.0024709440141452155;8:0.0027416845747559038","17:68;6:68;8:68","17:0.0031398548854882635;6:0.0026957037326841293;8:0.004191387482444575","0.0775146484375","Yes"
"8","150.13934750760578","35.00440898001945","0.0059814453125","0.008544921875","0.00341796875","1560","0.000400029538096972","24","0.000400029538096972","0","0.000400029538096972","0.000400029538096972","9:0.0021414573327162845;7:0.0027416845747559038","9:68;7:68","9:0.0022420053983528143;7:0.004191387482444575","0.0059814453125","Yes"
"9","231.28829499639141","20.896755941026658","0.0091552734375","0.01416015625","0.004150390625","1560","0.00019806270944277622","24","0.00019806270944277622","0","0.00019806270944277622","0.00019806270944277622","8:0.0021414573327162845;10:0.001849058250948138","8:68;10:68","8:0.0022420053983528143;10:0.001891461188258281","0.0091552734375","Yes"
