"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"0","48.53901269293352","18.618109770629","0.057373046875","0.11181640625","0.0029296875","1560","0.0044952703031778335","24","0.0044952703031778335","0","0.0044952703031778335","0.0044952703031778335","1:68","1:0.03431273531330248","1:0.036513474679529145","0.057373046875","Yes"
"1","226.57431992091153","278.52285373870455","0.0224609375","0.0302734375","0.0146484375","1560","0.00024979276820390943","24","0.00024979276820390943","0","0.00024979276820390943","0.00024979276820390943","2:68;0:68","2:0.001912758925371516;0:0.03431273531330248","2:0.0016207760240732894;0:0.036513474679529145","0.0224609375","Yes"
"2","213.59966359561966","148.96650848941997","0.006103515625","0.005859375","0.00634765625","1560","0.00025232222910864533","24","0.00025232222910864533","0","0.00025232222910864533","0.00025232222910864533","1:68;3:68","1:0.001912758925371516;3:0.0015827949083942472","1:0.0016207760240732894;3:0.0013091337746681253","0.006103515625","Yes"
"3","310.3704127406458","285.1192798616043","0.067626953125","0.05224609375","0.0830078125","1560","0.00017685967133411744","24","0.00017685967133411744","0","0.00017685967133411744","0.00017685967133411744","16:68;2:68;4:68","16:0.0015161031296511418;2:0.0015827949083942472;4:0.0018250729547950872","16:0.001742681596057033;2:0.0013091337746681253;4:0.0019257229756355632","0.067626953125","Yes"
"4","224.50277610259715","153.75071568912884","0.005859375","0.0068359375","0.0048828125","1560","0.0002747120676576258","24","0.0002747120676576258","0","0.0002747120676576258","0.0002747120676576258","3:68;5:68","3:0.0018250729547950872;5:0.0027769950339298355","3:0.0019257229756355632;5:0.0022031708996621824","0.005859375","Yes"
"5","148.3318426317678","145.05442748299672","0.048828125","0.0556640625","0.0419921875","1560","0.00033371483943622906","24","0.00033371483943622906","0","0.00033371483943622906","0.00033371483943622906","6:68;4:68","6:0.003323278720238909;4:0.0027769950339298355","6:0.002229103726923448;4:0.0022031708996621824","0.048828125","Yes"
"6","206.35669673048605","154.47899626856173","0.01953125","0.01953125","0.01953125","1560","0.00022838377955816514","24","0.00022838377955816514","0","0.00022838377955816514","0.00022838377955816514","5:68;7:68","5:0.003323278720238909;7:0.006478916930600737","5:0.002229103726923448;7:0.0025888561515333697","0.01953125","Yes"
"7","146.0376564014607","41.145147350296696","0.025390625","0.03466796875","0.01611328125","1560","0.0003702064784340283","24","0.0003702064784340283","0","0.0003702064784340283","0.0003702064784340283","17:68;6:68;8:68","17:0.0025845349631837267;6:0.006478916930600737;8:0.00256786207769949","17:0.0030722075842044005;6:0.0025888561515333697;8:0.0034929401495910894","0.025390625","Yes"
"8","93.32864525139912","35.757463748683776","0.008056640625","0.01123046875","0.0048828125","1560","0.00020686501421882748","24","0.00020686501421882748","0","0.00020686501421882748","0.00020686501421882748","9:68;7:68","9:0.002078175938422938;7:0.00256786207769949","9:0.0018250740847239877;7:0.0034929401495910894","0.008056640625","Yes"
"9","260.9641052978448","29.948640041276317","0.0087890625","0.013671875","0.00390625","1560","0.00023542178578805185","24","0.00023542178578805185","0","0.00023542178578805185","0.00023542178578805185","8:68;10:68","8:0.002078175938422938;10:0.0019278159294056074","8:0.0018250740847239877;10:0.001777760904620479","0.0087890625","Yes"
"10","205.02441932808145","125.73260443198139","0.01123046875","0.013671875","0.0087890625","1560","0.00014970946018870202","24","0.00014970946018870202","0","0.00014970946018870202","0.00014970946018870202","9:68;11:68","9:0.0019278159294056074;11:0.01024914290588802","9:0.001777760904620479;11:0.009888518976710503","0.01123046875","Yes"
"11","107.68129977528481","24.584029018635317","0.046630859375","0.05126953125","0.0419921875","1560","0.00215796028504792","24","0.00215796028504792","0","0.00215796028504792","0.00215796028504792","18:68;10:68;12:68","18:0.013959020594860622;10:0.01024914290588802;12:0.009676905714852108","18:0.015647049536049368;10:0.009888518976710503;12:0.009333855659135804","0.046630859375","Yes"
"12","72.55922590660437","72.66994206928275","0.021484375","0.02783203125","0.01513671875","1560","0.00042508567902604325","24","0.00042508567902604325","0","0.00042508567902604325","0.00042508567902604325","13:68;11:68","13:0.006128824220415913;11:0.009676905714852108","13:0.004051870722909134;11:0.009333855659135804","0.021484375","Yes"
"13","272.04246005665175","196.01933441851506","0.015380859375","0.0146484375","0.01611328125","1560","0.0002638369943664416","24","0.0002638369943664416","0","0.0002638369943664416","0.0002638369943664416","12:68;14:68","12:0.006128824220415913;14:0.0022624591286051488","12:0.004051870722909134;14:0.0016226371976500453","0.015380859375","Yes"
"14","248.36270064864735","78.20236859154299","0.0078125","0.009765625","0.005859375","1560","0.00018041236372126425","24","0.00018041236372126425","0","0.00018041236372126425","0.00018041236372126425","15:68;13:68","15:0.0022889316708537;13:0.0022624591286051488","15:0.0018219601725678602;13:0.0016226371976500453","0.0078125","Yes"
"15","344.98187270406976","197.82151665382676","0.024658203125","0.03125","0.01806640625","1560","0.0002380455036450271","24","0.0002380455036450271","0","0.0002380455036450271","0.0002380455036450271","14:68;19:68","14:0.0022889316708537;19:0.002661713294882656","14:0.0018219601725678602;19:0.002184287653640843","0.024658203125","Yes"
"16","177.50272959808294","136.29777580288078","0.00634765625","0.0078125","0.0048828125","1560","0.0003047335274956272","24","0.0003047335274956272","0","0.0003047335274956272","0.0003047335274956272","23:68;3:68","23:0.0028534156860128834;3:0.0015161031296511418","23:0.00250868209789884;3:0.001742681596057033","0.00634765625","Yes"
"17","159.18720631718608","127.14162873249217","0.015380859375","0.01806640625","0.0126953125","1560","0.00023849596468464868","24","0.00023849596468464868","0","0.00023849596468464868","0.00023849596468464868","7:68;27:68","7:0.0025845349631837267;27:0.02433606633743765","7:0.0030722075842044005;27:0.04421768377921784","0.015380859375","Yes"
"18","66.10989031524355","44.890684904586706","0.009033203125","0.013671875","0.00439453125","1560","0.0005891205931314391","24","0.0005891205931314391","0","0.0005891205931314391","0.0005891205931314391","11:68;31:68","11:0.013959020594860622;31:0.004026196736935023","11:0.015647049536049368;31:0.0036347033689192176","0.009033203125","Yes"
"19","171.98100408426023","159.75564012080397","0.00830078125","0.013671875","0.0029296875","1560","0.00046575915209138847","24","0.00046575915209138847","0","0.00046575915209138847","0.00046575915209138847","35:68;15:68","35:0.0014473952020209457;15:0.002661713294882656","35:0.0020069363538907092;15:0.002184287653640843","0.00830078125","Yes"
"20","182.16352865923966","173.9349441030782","0.013916015625","0.0185546875","0.00927734375","1560","0.00032765009777751717","24","0.00032765009777751717","0","0.00032765009777751717","0.00032765009777751717","21:68","21:0.0026529696742409736","21:0.002047923769530724","0.013916015625","Yes"
"21","239.23162534994302","186.51748734577185","0.012939453125","0.02099609375","0.0048828125","1560","0.00018891216680751025","24","0.00018891216680751025","0","0.00018891216680751025","0.00018891216680751025","36:68;20:68;22:68","36:0.00632053005414851;20:0.0026529696742409736;22:0.0021818555944324858","36:0.004661356249280685;20:0.002047923769530724;22:0.0035878952206169212","0.012939453125","Yes"
"22","216.630118550254","157.66442049709886","0.00927734375","0.017578125","0.0009765625","1560","0.00027327339036748024","24","0.00027327339036748024","0","0.00027327339036748024","0.00027327339036748024","23:68;21:68","23:0.0015361668866477884;21:0.0021818555944324858","23:0.0022966596310732;21:0.0035878952206169212","0.00927734375","Yes"
"23","109.52151995187053","136.43879035841434","0.005615234375","0.00732421875","0.00390625","1560","0.0002084010464263653","24","0.0002084010464263653","0","0.0002084010464263653","0.0002084010464263653","22:68;24:68;16:68","22:0.0015361668866477884;24:0.0037364959630639127;16:0.0028534156860128834","22:0.0022966596310732;24:0.003980796018718286;16:0.00250868209789884","0.005615234375","Yes"
"24","203.48697455456627","200.9473563846215","0.015869140625","0.0224609375","0.00927734375","1560","0.0008953943241260815","24","0.0008953943241260815","0","0.0008953943241260815","0.0008953943241260815","23:68;25:68","23:0.0037364959630639127;25:0.024273245697248674","23:0.003980796018718286;25:0.016726875172553973","0.015869140625","Yes"
"25","162.96474051887498","114.736474150258","0.022705078125","0.03125","0.01416015625","1560","0.00036835750045880627","24","0.00036835750045880627","0","0.00036835750045880627","0.00036835750045880627","24:68;26:68;37:68","24:0.024273245697248674;26:0.0029358849065235504;37:0.0025239621162142234","24:0.016726875172553973;26:0.0028225955219210452;37:0.002950993892535697","0.022705078125","Yes"
"26","123.55492907777348","105.61685452578956","0.017822265625","0.0244140625","0.01123046875","1560","0.00019771827960183983","24","0.00019771827960183983","0","0.00019771827960183983","0.00019771827960183983","25:68;27:68","25:0.0029358849065235504;27:0.030736760180339412","25:0.0028225955219210452;27:0.03783640146183556","0.017822265625","Yes"
"27","113.4157776370912","119.15650818008835","0.019775390625","0.03271484375","0.0068359375","1560","0.0051305154368180925","24","0.0051305154368180925","0","0.0051305154368180925","0.0051305154368180925","26:68;28:68;17:68","26:0.030736760180339412;17:0.02433606633743765","26:0.03783640146183556;28:0.061577566396766814;17:0.04421768377921784","0.019775390625","Yes"
"28","217.22009302587054","225.20828499657767","0.00634765625","0.00830078125","0.00439453125","1560","0.0002565119579727456","24","0.0002565119579727456","0","0.0002565119579727456","0.0002565119579727456","27:68;29:68","29:0.0032481199359181423","27:0.061577566396766814;29:0.0022770731383892073","0.00634765625","Yes"
"29","104.98295718011921","39.84958668170943","0.014404296875","0.015625","0.01318359375","1560","0.0001776606930293409","24","0.0001776606930293409","0","0.0001776606930293409","0.0001776606930293409","38:68;28:68;30:68","38:0.0017359822900008814;28:0.0032481199359181423;30:0.0020374364288118785","38:0.002297137534963245;28:0.0022770731383892073;30:0.002459094610192919","0.014404296875","Yes"
"30","97.00814308768562","95.34717376344486","0.013671875","0.0146484375","0.0126953125","1560","0.00028254345653202996","24","0.00028254345653202996","0","0.00028254345653202996","0.00028254345653202996","31:68;29:68","31:0.003087546518828782;29:0.0020374364288118785","31:0.0031779390286845732;29:0.002459094610192919","0.013671875","Yes"
"31","127.8617705475248","52.10694780076344","0.028564453125","0.02978515625","0.02734375","1560","0.0005296514460685843","24","0.0005296514460685843","0","0.0005296514460685843","0.0005296514460685843","30:68;32:68;18:68","30:0.003087546518828782;32:0.052224015072180774;18:0.004026196736935023","30:0.0031779390286845732;32:0.00949962670083862;18:0.0036347033689192176","0.028564453125","Yes"
"32","145.310887142875","128.82057951414328","0.037109375","0.03759765625","0.03662109375","1560","0.00024678254635893354","24","0.00024678254635893354","0","0.00024678254635893354","0.00024678254635893354","31:68;33:68","31:0.052224015072180774","31:0.00949962670083862","0.037109375","Yes"
"33","137.86812278083826","127.36324194514485","0.011474609375","0.01806640625","0.0048828125","1560","0.0002460791956494058","24","0.0002460791956494058","0","0.0002460791956494058","0.0002460791956494058","39:68;32:68;34:68","39:0.0021421088710593117;34:0.0020991281201896694","39:0.001760402974312375;34:0.0022879341863764335","0.011474609375","Yes"
"34","186.0843857753707","85.59663217041496","0.009765625","0.01025390625","0.00927734375","1560","0.00042340388885177754","24","0.00042340388885177754","0","0.00042340388885177754","0.00042340388885177754","33:68;35:68","33:0.0020991281201896694;35:0.0017185310948617527","33:0.0022879341863764335;35:0.0019548760820074507","0.009765625","Yes"
"35","175.28418415780052","46.703479713025146","0.0126953125","0.01953125","0.005859375","1560","0.00032230123443083893","24","0.00032230123443083893","0","0.00032230123443083893","0.00032230123443083893","19:68;34:68","19:0.0014473952020209457;34:0.0017185310948617527","19:0.0020069363538907092;34:0.0019548760820074507","0.0126953125","Yes"
"36","174.96102953346636","141.0913027289223","0.014892578125","0.01513671875","0.0146484375","1560","0.0004716880542192838","24","0.0004716880542192838","0","0.0004716880542192838","0.0004716880542192838","41:68;21:68","41:0.0021829124925164534;21:0.00632053005414851","41:0.0022616072353281447;21:0.004661356249280685","0.014892578125","Yes"
"37","173.47017704369003","59.18608110987496","0.013427734375","0.01708984375","0.009765625","1560","0.00024326017630055426","24","0.00024326017630055426","0","0.00024326017630055426","0.00024326017630055426","45:68;25:68","45:0.002266132870199916;25:0.0025239621162142234","45:0.002165734770997324;25:0.002950993892535697","0.013427734375","Yes"
"38","155.09618099825363","139.56230705863192","0.008056640625","0.00927734375","0.0068359375","1560","0.0003255098184438561","24","0.0003255098184438561","0","0.0003255098184438561","0.0003255098184438561","29:68;49:68","29:0.0017359822900008814;49:0.003241222338086075","29:0.002297137534963245;49:0.003296301202220575","0.008056640625","Yes"
"39","155.92493524438729","190.95801022265826","0.01220703125","0.0146484375","0.009765625","1560","0.0006403597710386466","24","0.0006403597710386466","0","0.0006403597710386466","0.0006403597710386466","53:68;33:68","53:0.006070858286786857;33:0.0021421088710593117","53:0.003938640727117748;33:0.001760402974312375","0.01220703125","Yes"
"40","72.80353462208346","98.4316107321211","0.0224609375","0.0283203125","0.0166015625","1560","0.00037468948237259276","24","0.00037468948237259276","0","0.00037468948237259276","0.00037468948237259276","41:68","41:0.0013513046575869825","41:0.0017568843958196412","0.0224609375","Yes"
"41","232.01646866102794","121.44598212828487","0.089599609375","0.11572265625","0.0634765625","1560","0.00013552698436394397","24","0.00013552698436394397","0","0.00013552698436394397","0.00013552698436394397","40:68;42:68;36:68","40:0.0013513046575869825;42:0.002191777306855963;36:0.0021829124925164534","40:0.0017568843958196412;42:0.00209336907986854;36:0.0022616072353281447","0.089599609375","Yes"
"42","158.88858449773264","46.87689322983293","0.014892578125","0.01953125","0.01025390625","1560","0.00024280838236347108","24","0.00024280838236347108","0","0.00024280838236347108","0.00024280838236347108","41:68;43:68","41:0.002191777306855963;43:0.005338899388099477","41:0.00209336907986854;43:0.006879808884388022","0.014892578125","Yes"
"43","195.11372377398965","104.34323606819609","0.1201171875","0.12890625","0.111328125","1560","0.0006793696950363075","24","0.0006793696950363075","0","0.0006793696950363075","0.0006793696950363075","42:68;56:68;44:68","42:0.005338899388099477;56:0.004829996567879996;44:0.024543463275478877","42:0.006879808884388022;56:0.007021886710600611;44:0.038608666364715105","0.1201171875","Yes"
"44","188.1519063492546","152.05436404617058","0.006103515625","0.0068359375","0.00537109375","1560","0.00041579392412566187","24","0.00041579392412566187","0","0.00041579392412566187","0.00041579392412566187","45:68;43:68","45:0.002068487173857797;43:0.024543463275478877","45:0.00242025571326851;43:0.038608666364715105","0.006103515625","Yes"
"45","135.95707378632488","158.1717184485878","0.078125","0.05322265625","0.10302734375","1560","0.00013816083136139457","24","0.00013816083136139457","0","0.00013816083136139457","0.00013816083136139457","44:68;46:68;37:68","44:0.002068487173857797;46:0.002557246877069319;37:0.002266132870199916","44:0.00242025571326851;46:0.003018385162736059;37:0.002165734770997324","0.078125","Yes"
"46","141.1619133122402","12.445034048554305","0.01171875","0.0107421875","0.0126953125","1560","0.0003424184408449383","24","0.0003424184408449383","0","0.0003424184408449383","0.0003424184408449383","45:68;47:68","45:0.002557246877069319;47:0.003114024971486662","45:0.003018385162736059;47:0.0024866494154709984","0.01171875","Yes"
"47","189.27659399837313","65.08912593276608","0.03515625","0.02734375","0.04296875","1560","0.0003574770765796965","24","0.0003574770765796965","0","0.0003574770765796965","0.0003574770765796965","48:68;57:68;46:68","48:0.002427630200126263;57:0.005636541215648466;46:0.003114024971486662","48:0.005306075726154602;57:0.0025966042994550464;46:0.0024866494154709984","0.03515625","Yes"
"48","113.07797628042046","45.13505987588817","0.0068359375","0.009765625","0.00390625","1560","0.0003426112641384473","24","0.0003426112641384473","0","0.0003426112641384473","0.0003426112641384473","47:68;49:68","47:0.002427630200126263;49:0.0028601369501211615","47:0.005306075726154602;49:0.0031688725446478716","0.0068359375","Yes"
"49","152.96352895969534","34.973652379736535","0.043701171875","0.05517578125","0.0322265625","1560","0.0006623447768528658","24","0.0006623447768528658","0","0.0006623447768528658","0.0006623447768528658","48:68;50:68;38:68","48:0.0028601369501211615;50:0.002571753809560262;38:0.003241222338086075","48:0.0031688725446478716;50:0.00342738797897027;38:0.003296301202220575","0.043701171875","Yes"
"50","158.89575997393484","151.9379577963681","0.010009765625","0.013671875","0.00634765625","1560","0.0003168885495287631","24","0.0003168885495287631","0","0.0003168885495287631","0.0003168885495287631","49:68;51:68","49:0.002571753809560262;51:0.0021004150368462426","49:0.00342738797897027;51:0.0033346255929054547","0.010009765625","Yes"
