"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","277.51508958858636","120.92942516247162","0.004638671875","0.0087890625","0.00048828125","2584","0.0001696981853661489","36","0.0001696981853661489","0","0.0001696981853661489","0.0001696981853661489","1:0.001787017871736657","1:68","1:0.0029339981221782885","0.004638671875","Yes"
"1","217.32212598370683","178.86074799706364","0.007568359375","0.012939453125","0.002197265625","2584","0.0002567134447214894","36","0.0002567134447214894","0","0.0002567134447214894","0.0002567134447214894","2:0.0013074326253497137;0:0.001787017871736657","2:68;0:68","2:0.0010891296562914599;0:0.0029339981221782885","0.007568359375","Yes"
"2","316.3230317859462","413.2273592608281","0.0042724609375","0.00732421875","0.001220703125","2584","0.00016189283480222237","36","0.00016189283480222237","0","0.00016189283480222237","0.00016189283480222237","1:0.0013074326253497137;3:0.001098131206018732","1:68;3:68","1:0.0010891296562914599;3:0.0009671433680930874","0.0042724609375","Yes"
"3","232.72097488929242","236.36133733282537","0.0113525390625","0.017578125","0.005126953125","2584","0.00022924514844528074","36","0.00022924514844528074","0","0.00022924514844528074","0.00022924514844528074","16:0.0026909858233969686;2:0.001098131206018732;4:0.0017947905289653343","16:68;2:68;4:80","16:0.0019674190745952724;2:0.0009671433680930874;4:0.0015909817640101798","0.0113525390625","Yes"
"4","241.79692753728406","345.4380830773295","0.0269775390625","0.052490234375","0.00146484375","2584","0.0003463511832943889","36","0.0003463511832943889","0","0.0003463511832943889","0.0003463511832943889","3:0.0017947905289653343;5:0.0021170881547697973","3:80;5:68","3:0.0015909817640101798;5:0.002374900282890585","0.0269775390625","Yes"
"5","324.2679190202624","216.26997739420437","0.0059814453125","0.007568359375","0.00439453125","2584","0.00033842550744257613","36","0.00033842550744257613","0","0.00033842550744257613","0.00033842550744257613","6:0.002087661811799729;4:0.0021170881547697973","6:68;4:68","6:0.0020355267139730293;4:0.002374900282890585","0.0059814453125","Yes"
"6","321.9850956718491","292.16245282713214","0.004638671875","0.008056640625","0.001220703125","2584","0.0004212403556791723","36","0.0004212403556791723","0","0.0004212403556791723","0.0004212403556791723","5:0.002087661811799729;7:0.0018957332512961889","5:68;7:68","5:0.0020355267139730293;7:0.0014586400069296623","0.004638671875","Yes"
"7","230.5083051173025","119.22851081712949","0.00537109375","0.009765625","0.0009765625","2584","0.00020201541901957736","36","0.00020201541901957736","0","0.00020201541901957736","0.00020201541901957736","17:0.002260862559939375;6:0.0018957332512961889;8:0.0029207809344684033","17:68;6:68;8:80","17:0.002072613152364816;6:0.0014586400069296623;8:0.0028299623518531214","0.00537109375","Yes"
"8","214.89937997839422","128.13344550535948","0.00634765625","0.012451171875","0.000244140625","2584","0.00025107313975953775","36","0.00025107313975953775","0","0.00025107313975953775","0.00025107313975953775","9:0.002474181954314536;7:0.0029207809344684033","9:68;7:80","9:0.0022193370490508346;7:0.0028299623518531214","0.00634765625","Yes"
"9","238.8200901020491","300.62591450381734","0.0087890625","0.010009765625","0.007568359375","2584","0.0001567488890614873","36","0.0001567488890614873","0","0.0001567488890614873","0.0001567488890614873","8:0.002474181954314536;10:0.000918334560804146","8:68;10:68","8:0.0022193370490508346;10:0.0010706446961388227","0.0087890625","Yes"
