"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","161.82733281634913","250.26331412081305","0.1416015625","0.15283203125","0.13037109375","1560","0.00021023017527778268","32","0.00021023017527778268","0","0.00021023017527778268","0.00021023017527778268","15:0.0016798329530221812;1:0.0021463069070987717","15:68;1:68","15:0.0022966954414967433;1:0.002042523150225295","0.1416015625","Yes"
"1","276.37825458799233","197.5753311903759","0.0548095703125","0.035888671875","0.07373046875","1560","0.00023995993857161218","32","0.00023995993857161218","0","0.00023995993857161218","0.00023995993857161218","2:0.002094923537471427;0:0.0021463069070987717","2:68;0:68","2:0.0021982973995725297;0:0.002042523150225295","0.0548095703125","Yes"
"2","160.36446821918506","178.7069428162012","0.03369140625","0.048828125","0.0185546875","1560","0.00042982785446678235","32","0.00042982785446678235","0","0.00042982785446678235","0.00042982785446678235","1:0.002094923537471427;3:0.0015405506307937245","1:68;3:68","1:0.0021982973995725297;3:0.0019427647696992345","0.03369140625","Yes"
"3","221.73823548839385","166.10632615573675","0.0235595703125","0.020751953125","0.0263671875","1560","0.0002494010506426647","32","0.0002494010506426647","0","0.0002494010506426647","0.0002494010506426647","2:0.0015405506307937245;4:0.0017708435368269104","2:68;4:68","2:0.0019427647696992345;4:0.0018062720644193009","0.0235595703125","Yes"
"4","126.2527020382059","134.4971211183869","0.0382080078125","0.04541015625","0.031005859375","1560","0.00044559496766448023","32","0.00044559496766448023","0","0.00044559496766448023","0.00044559496766448023","3:0.0017708435368269104;5:0.002796535513616999;16:0.0024557666982926996","3:68;5:68;16:80","3:0.0018062720644193009;5:0.0024261962279721605;16:0.0025445483376242695","0.0382080078125","Yes"
"5","274.89054442353995","225.33739255623934","0.0301513671875","0.022705078125","0.03759765625","1560","0.0002295903930152296","32","0.0002295903930152296","0","0.0002295903930152296","0.0002295903930152296","6:0.002049083098187632;4:0.002796535513616999","6:68;4:68","6:0.0023979891432226452;4:0.0024261962279721605","0.0301513671875","Yes"
"6","43.69518364896241","65.05529065853301","0.01318359375","0.0302734375","0.001220703125","1560","0.0004777680194162352","32","0.0004777680194162352","0","0.0004777680194162352","0.0004777680194162352","5:0.002049083098187632;7:0.0027857670744259877","5:68;7:68","5:0.0023979891432226452;7:0.0030603137749813103","0.01318359375","Yes"
"7","236.61855856423642","95.80877870996483","0.0721435546875","0.0517578125","0.092529296875","1560","0.0007060633498370398","32","0.0007060633498370398","0","0.0007060633498370398","0.0007060633498370398","6:0.0027857670744259877;8:0.002259413214996897","6:68;8:68","6:0.0030603137749813103;8:0.0030943860873783036","0.0721435546875","Yes"
"8","239.47112140371746","220.00841398299292","0.0850830078125","0.060546875","0.109619140625","1560","0.00034662373982629767","32","0.00034662373982629767","0","0.00034662373982629767","0.00034662373982629767","9:0.002851364994662986;17:0.0025754512925998396;7:0.002259413214996897","9:68;17:108;7:68","9:0.0032118759518140194;17:0.002629412273492032;7:0.0030943860873783036","0.0850830078125","Yes"
"9","136.40832713462618","83.97899134989451","0.0233154296875","0.041748046875","0.0048828125","1560","0.00046225655753481056","32","0.00046225655753481056","0","0.00046225655753481056","0.00046225655753481056","8:0.002851364994662986;10:0.0022387635070111878","8:68;10:68","8:0.0032118759518140194;10:0.0029265739297500426","0.0233154296875","Yes"
"10","241.37041796929006","256.1283284874727","0.049072265625","0.0224609375","0.07568359375","1560","0.00028394644166892646","32","0.00028394644166892646","0","0.00028394644166892646","0.00028394644166892646","9:0.0022387635070111878;11:0.0035841053733257633","9:68;11:68","9:0.0029265739297500426;11:0.0026906782515956074","0.049072265625","Yes"
"11","130.43406158073878","125.99912117845942","0.0162353515625","0.02099609375","0.011474609375","1560","0.0003045304626247329","32","0.0003045304626247329","0","0.0003045304626247329","0.0003045304626247329","10:0.0035841053733257633;12:0.006189395418836535","10:68;12:68","10:0.0026906782515956074;12:0.004665511837688485","0.0162353515625","Yes"
"12","270.38704251654394","290.60470984594633","0.0213623046875","0.0146484375","0.028076171875","1560","0.00023530840068477555","32","0.00023530840068477555","0","0.00023530840068477555","0.00023530840068477555","18:0.001842284378086173;13:0.0021574511440249633;11:0.006189395418836535","18:68;13:68;11:68","18:0.0018440202057175559;13:0.0030005016030070497;11:0.004665511837688485","0.0213623046875","Yes"
"13","126.55989070550329","121.30397253059763","0.02783203125","0.02685546875","0.02880859375","1560","0.000296641064627135","32","0.000296641064627135","0","0.000296641064627135","0.000296641064627135","12:0.0021574511440249633;14:0.00178800112682459","12:68;14:68","12:0.0030005016030070497;14:0.001929723043536058","0.02783203125","Yes"
"14","299.4462756305084","140.45711995251506","0.0257568359375","0.0185546875","0.032958984375","1560","0.00018616360152947785","32","0.00018616360152947785","0","0.00018616360152947785","0.00018616360152947785","13:0.00178800112682459","13:68","13:0.001929723043536058","0.0257568359375","Yes"
"15","214.6101358449192","35.38746144707342","0.015380859375","0.026611328125","0.004150390625","1560","0.0007289853097059487","32","0.0007289853097059487","0","0.0007289853097059487","0.0007289853097059487","0:0.0016798329530221812;19:0.0038329966902191648","0:68;19:80","0:0.0022966954414967433;19:0.003884445359302352","0.015380859375","Yes"
"16","165.55413181301742","143.9564931777413","0.02587890625","0.020751953125","0.031005859375","1560","0.0003417855761590646","32","0.0003417855761590646","0","0.0003417855761590646","0.0003417855761590646","23:0.004380709484837764;4:0.0024557666982926996","23:184;4:80","23:0.0046629657143242575;4:0.0025445483376242695","0.02587890625","Yes"
"17","172.50565375772177","95.77716487510493","0.008544921875","0.010009765625","0.007080078125","1560","0.0004158024805479523","32","0.0004158024805479523","0","0.0004158024805479523","0.0004158024805479523","27:0.0030627790539315414;8:0.0025754512925998396","27:160;8:108","27:0.002804202695629282;8:0.002629412273492032","0.008544921875","Yes"
"18","233.11852911976308","218.62929764692547","0.0072021484375","0.008056640625","0.00634765625","1560","0.0003146427673152538","32","0.0003146427673152538","0","0.0003146427673152538","0.0003146427673152538","12:0.001842284378086173;31:0.013448293758688196","12:68;31:68","12:0.0018440202057175559;31:0.008485576595290478","0.0072021484375","Yes"
"19","140.17922609974178","187.41043150068546","0.055908203125","0.077392578125","0.034423828125","1560","0.0010669930139088368","32","0.0010669930139088368","0","0.0010669930139088368","0.0010669930139088368","20:0.004207570424712814;15:0.0038329966902191648","20:108;15:80","20:0.004964769788739415;15:0.003884445359302352","0.055908203125","Yes"
"20","213.2705685442385","116.25534917597571","0.0184326171875","0.020751953125","0.01611328125","1560","0.00024384435190288422","32","0.00024384435190288422","0","0.00024384435190288422","0.00024384435190288422","19:0.004207570424712814","19:108;21:68","19:0.004964769788739415","0.0184326171875","Yes"
"21","71.749092324417","20.780977390181143","0.0810546875","0.068603515625","0.093505859375","1560","0.00048544691320074874","32","0.00048544691320074874","0","0.00048544691320074874","0.00048544691320074874","34:0.00307601012226566;22:0.003070592633628466","34:68;20:68;22:68","34:0.002790711303544441","0.0810546875","Yes"
"22","65.57709833496621","84.41978053803129","0.034912109375","0.043701171875","0.026123046875","1560","0.00048807158506415025","32","0.00048807158506415025","0","0.00048807158506415025","0.00048807158506415025","23:0.003512931565403693;21:0.003070592633628466","23:68;21:68","23:0.0035593728805319025","0.034912109375","Yes"
"23","184.90129183033338","202.86767447441633","0.031494140625","0.09228515625","0.03173828125","1560","0.00014894629305949972","32","0.00014894629305949972","0","0.00014894629305949972","0.00014894629305949972","22:0.003512931565403693;24:0.0012076314502999785;16:0.004380709484837764","22:68;24:68;16:184","22:0.0035593728805319025;24:0.0013450575272994092;16:0.0046629657143242575","0.031494140625","Yes"
"24","144.5352286183652","144.63828918274254","0.0257568359375","0.013427734375","0.0380859375","1560","0.00047572878499711264","32","0.00047572878499711264","0","0.00047572878499711264","0.00047572878499711264","23:0.0012076314502999785;25:0.0019616268496439326","23:68;25:68","23:0.0013450575272994092;25:0.0017287235605354667","0.0257568359375","Yes"
"25","61.57905081192468","91.92142429875992","0.0902099609375","0.08935546875","0.091064453125","1560","0.0002509529414116848","32","0.0002509529414116848","0","0.0002509529414116848","0.0002509529414116848","24:0.0019616268496439326;26:0.00833780819742308;35:0.0021698110307209195","24:68;26:68;35:108","24:0.0017287235605354667;26:0.010027617822998769;35:0.002152130046370798","0.0902099609375","Yes"
"26","7.3051076934628805","9.345488487473588","0.04541015625","0.050048828125","0.040771484375","1560","0.0018541533028602498","32","0.0018541533028602498","0","0.0018541533028602498","0.0018541533028602498","25:0.00833780819742308;27:0.009090515886782474","25:68;27:68","25:0.010027617822998769;27:0.008537806204398063","0.04541015625","Yes"
"27","89.31913438759048","93.33036732693046","0.059814453125","0.04833984375","0.0712890625","1560","0.00015275668033994151","32","0.00015275668033994151","0","0.00015275668033994151","0.00015275668033994151","26:0.009090515886782474;28:0.002744807610989941;17:0.0030627790539315414","26:68;28:80;17:160","26:0.008537806204398063;28:0.002539875741781189;17:0.002804202695629282","0.059814453125","Yes"
"28","153.546062474905","158.99292204920386","0.056396484375","0.099853515625","0.012939453125","1560","0.0024546704165979245","32","0.0024546704165979245","0","0.0024546704165979245","0.0024546704165979245","27:0.002744807610989941;29:0.003413121874817432","27:80;29:116","27:0.002539875741781189;29:0.0036282140842746613","0.056396484375","Yes"
"29","159.1230167685701","95.31421528443522","0.024169921875","0.017578125","0.03076171875","1560","0.0005170475613529387","32","0.0005170475613529387","0","0.0005170475613529387","0.0005170475613529387","36:0.0020410096441008663;28:0.003413121874817432;30:0.0029433149044901796","36:68;28:116;30:68","36:0.002279622578868018;28:0.0036282140842746613;30:0.0025993419558605346","0.024169921875","Yes"
"30","218.45141476605522","144.5169545537871","0.0146484375","0.0068359375","0.0224609375","1560","0.00041290955107273794","32","0.00041290955107273794","0","0.00041290955107273794","0.00041290955107273794","31:0.0024526641887131218;29:0.0029433149044901796","31:68;29:68","31:0.0026844477678188705;29:0.0025993419558605346","0.0146484375","Yes"
"31","216.71041209447185","203.84408317813467","0.062255859375","0.04541015625","0.0791015625","1560","0.00019714043839161188","32","0.00019714043839161188","0","0.00019714043839161188","0.00019714043839161188","30:0.0024526641887131218;32:0.002797432515300846;18:0.013448293758688196","30:68;32:68;18:68","30:0.0026844477678188705;32:0.002172407744156696;18:0.008485576595290478","0.062255859375","Yes"
"32","219.01078793183697","42.581042706450326","0.0194091796875","0.0263671875","0.012451171875","1560","0.00032825792093016425","32","0.00032825792093016425","0","0.00032825792093016425","0.00032825792093016425","31:0.002797432515300846;33:0.0015873916150221656","31:68;33:68","31:0.002172407744156696;33:0.0017453153852015624","0.0194091796875","Yes"
"33","183.64740453184532","65.3881930283446","0.041259765625","0.026611328125","0.055908203125","1560","0.00020186514047757192","32","0.00020186514047757192","0","0.00020186514047757192","0.00020186514047757192","37:0.0026616033217493063;32:0.0015873916150221656","37:88;32:68","37:0.002591033878188709;32:0.0017453153852015624","0.041259765625","Yes"
