"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"0","223.09593657065884","222.37858014906263","0.4000244140625","0.096923828125","0.703125","2400","0.00019901668610653313","32","0.00019901668610653313","0","0.00019901668610653313","0.00019901668610653313","1:0.0013496866188068557;10:0.0014219608684169494","1:128;10:128","0.4000244140625","Yes"
"1","403.5393391034898","489.4550902507863","0.3424072265625","0.204345703125","0.48046875","2400","0.00011063116778054914","32","0.00011063116778054914","0","0.00011063116778054914","0.00011063116778054914","2:0.001410708486932033;11:0.0016939306362556417;0:0.0013496866188068557","2:128;11:128;0:128","0.3424072265625","Yes"
"2","543.062184090878","317.190164700622","0.4320068359375","0.133056640625","0.73095703125","2400","0.00008778770674025736","32","0.00008778770674025736","0","0.00008778770674025736","0.00008778770674025736","1:0.001410708486932033;3:0.001737425448121055;12:0.0028336395296229833","1:128;3:128;12:148","0.4320068359375","Yes"
"3","504.39080702443357","538.2409759032671","0.3170166015625","0.01416015625","0.42333984375","2400","0.00015081218680815426","32","0.00015081218680815426","0","0.00015081218680815426","0.00015081218680815426","13:0.0015198252186003625;2:0.001737425448121055;4:0.0016611222393100311","13:128;2:128;4:128","0.3170166015625","Yes"
"4","558.2013914349608","508.0081509000377","0.3643798828125","0.1533203125","0.575439453125","2400","0.0001422880281878853","32","0.0001422880281878853","0","0.0001422880281878853","0.0001422880281878853","3:0.0016611222393100311;5:0.0014429527134930675;14:0.003412848700120985","3:128;5:148;14:228","0.3643798828125","Yes"
"5","246.4234118693615","275.46749174713074","0.326171875","0.2861328125","0.3662109375","2400","0.0002332034513647289","32","0.0002332034513647289","0","0.0002332034513647289","0.0002332034513647289","6:0.030781477410941727;4:0.0014429527134930675;15:0.0019307076173156468","6:128;4:148;15:128","0.326171875","Yes"
"6","14.727599284405708","26.09986835202788","0.4075927734375","0.65576171875","0.159423828125","2400","0.001234830952027535","32","0.001234830952027535","0","0.001234830952027535","0.001234830952027535","5:0.030781477410941727;7:0.06977829729292842;16:0.08512249420904988","5:128;7:128;16:488","0.4075927734375","Yes"
"7","85.26121808908184","138.65022157077104","0.376953125","0.3857421875","0.3681640625","2400","0.000251783717689886","32","0.000251783717689886","0","0.000251783717689886","0.000251783717689886","17:0.002428824153595688;6:0.06977829729292842;8:0.002231045403566251","17:128;6:128;8:128","0.376953125","Yes"
"8","344.83411012145774","403.00509533844047","0.4744873046875","0.05078125","0.898193359375","2400","0.00008911152867658631","32","0.00008911152867658631","0","0.00008911152867658631","0.00008911152867658631","9:0.002571723133252768;18:0.0011849823376570146;7:0.002231045403566251","9:128;18:128;7:128","0.4744873046875","Yes"
"9","363.4730517721014","381.24283609548644","0.287353515625","0.232177734375","0.342529296875","2400","0.00022931352873132086","32","0.00022931352873132086","0","0.00022931352873132086","0.00022931352873132086","8:0.002571723133252768;19:0.001244319633736668","8:128;19:128","0.287353515625","Yes"
"10","336.36455658416696","350.5202958653802","0.283935546875","0.187255859375","0.380615234375","2400","0.0001494585500051616","32","0.0001494585500051616","0","0.0001494585500051616","0.0001494585500051616","20:0.0013423676650209937;11:0.005931081513598724;0:0.0014219608684169494","20:128;11:128;0:128","0.283935546875","Yes"
"11","215.22052588745007","227.71499376749603","0.3828125","0.1083984375","0.6572265625","2400","0.0001654857699671792","32","0.0001654857699671792","0","0.0001654857699671792","0.0001654857699671792","1:0.0016939306362556417;10:0.005931081513598724;12:0.020537194411245435;21:0.004806370585047126","1:128;10:128;12:128;21:128","0.3828125","Yes"
"12","267.77843168228804","243.06373476069587","0.3228759765625","0.2919921875","0.353759765625","2400","0.000315036502924306","32","0.000315036502924306","0","0.000315036502924306","0.000315036502924306","13:0.002167789674256043;22:0.0030159719305197508;2:0.0028336395296229833;11:0.020537194411245435","13:148;22:208;2:148;11:128","0.3228759765625","Yes"
"13","500.1852202697225","335.59332970770913","0.359375","0.083740234375","0.635009765625","2400","0.00011851262703510375","32","0.00011851262703510375","0","0.00011851262703510375","0.00011851262703510375","3:0.0015198252186003625;12:0.002167789674256043;14:0.00241159600076693;23:0.0014629213929779339","3:128;12:148;14:268;23:228","0.359375","Yes"
"14","230.2983434370808","274.83424669359204","0.26123046875","0.177978515625","0.344482421875","2400","0.00038345986168763184","32","0.00038345986168763184","0","0.00038345986168763184","0.00038345986168763184","15:0.0017176711310770698;24:0.003721539435237925;13:0.00241159600076693;4:0.003412848700120985","15:128;24:228;13:268;4:228","0.26123046875","Yes"
"15","240.12122903302117","240.78758309152144","0.4019775390625","0.18896484375","0.614990234375","2400","0.0002703270859795059","32","0.0002703270859795059","0","0.0002703270859795059","0.0002703270859795059","14:0.0017176711310770698;16:0.0016644572052013085;25:0.0025948996568319893;5:0.0019307076173156468","14:128;16:148;25:288;5:128","0.4019775390625","Yes"
"16","370.9587962246411","266.84945796680876","0.3177490234375","0.180419921875","0.455078125","2400","0.00016971881286296885","32","0.00016971881286296885","0","0.00016971881286296885","0.00016971881286296885","15:0.0016644572052013085;17:0.0015885639009393382;26:0.0016347012096913915;6:0.08512249420904988","15:148;17:128;26:248;6:488","0.3177490234375","Yes"
"17","372.4589794742327","337.0747158539193","0.4420166015625","0.1474609375","0.736572265625","2400","0.00011510131614377927","32","0.00011510131614377927","0","0.00011510131614377927","0.00011510131614377927","7:0.002428824153595688;16:0.0015885639009393382;18:0.001634086667901935;27:0.0017626243642229755","7:128;16:128;18:128;27:128","0.4420166015625","Yes"
"18","339.9314512307101","328.46519869605487","0.4971923828125","0.001708984375","0.99267578125","2400","0.00013872950694680488","32","0.00013872950694680488","0","0.00013872950694680488","0.00013872950694680488","8:0.0011849823376570146;19:0.0016400887039904888;28:0.04033243001015993;17:0.001634086667901935","8:128;19:128;28:88;17:128","0.4971923828125","Yes"
"19","404.11961305702505","353.4049791357226","0.5184326171875","0.369873046875","0.6669921875","2400","0.00028480481031104574","32","0.00028480481031104574","0","0.00028480481031104574","0.00028480481031104574","18:0.0016400887039904888;9:0.001244319633736668;29:0.0025542933754716113","18:128;9:128;29:88","0.5184326171875","Yes"
"20","416.9615183863883","388.05742912782","0.4600830078125","0.01171875","0.69384765625","2400","0.00010890923220650225","32","0.00010890923220650225","0","0.00010890923220650225","0.00010890923220650225","10:0.0013423676650209937;21:0.0011307804696345791;30:0.0015607304213696993","10:128;21:128;30:128","0.4600830078125","Yes"
"21","515.629582743721","299.75441693491234","0.3765869140625","0.14208984375","0.611083984375","2400","0.00016025755064356804","32","0.00016025755064356804","0","0.00016025755064356804","0.00016025755064356804","20:0.0011307804696345791;22:0.000861672853720602;11:0.004806370585047126","20:128;22:128;31:180;11:128","0.3765869140625","Yes"
"22","453.0288187019534","351.74612204644245","0.466552734375","0.130615234375","0.802490234375","2400","0.00020623891085245832","32","0.00020623891085245832","0","0.00020623891085245832","0.00020623891085245832","23:0.0016055493209434224;12:0.0030159719305197508;32:0.0036649023616926735;21:0.000861672853720602","23:148;12:208;32:168;21:128","0.466552734375","Yes"
"23","545.0365861002226","315.32644246561557","0.41796875","0.292236328125","0.543701171875","2400","0.00014259820978261345","32","0.00014259820978261345","0","0.00014259820978261345","0.00014259820978261345","22:0.0016055493209434224;13:0.0014629213929779339;24:0.0021173495037989654;33:0.0013828958218149723","22:148;13:228;24:228;33:148","0.41796875","Yes"
"24","222.05757668208204","180.5046241883299","0.429931640625","0.1923828125","0.66748046875","2400","0.0003059113939074672","32","0.0003059113939074672","0","0.0003059113939074672","0.0003059113939074672","14:0.003721539435237925;23:0.0021173495037989654;25:0.0022823061099467024;34:0.0020621169495320946","14:228;23:228;25:148;34:128","0.429931640625","Yes"
